,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
3534,3289,東急不動産ホールディングス,不動産業,500.0,495.0,2000,BUY,6925,ウシオ電機,電気機器,1339.0,1427.0,700,SELL,0.8170091141730849,0.8761858926610673,0.03537096407463571,0.0802614222648354,-2.3624236019775777,2.3624236019775777,1.632016881580331,-28.12,0.89,975169.0,46437.0,2.24,21,15,6,71.43,19.0,6,0,15,2020/03/29,523.0,1060.0,2019/12/29,755.0,1624.0,2019/06/29,612.0,1435.0,2018/06/29,765.0,1385.0
957,3099,三越伊勢丹ホールディングス,小売業,635.0,623.0,1500,BUY,7278,エクセディ,輸送用機器,1620.0,1574.0,600,SELL,0.9079192555664816,0.9483779535398275,0.011768988063780917,0.0013006158900249318,-0.22885092092734602,0.22885092092734602,0.09706021179097332,-1.56,1.05,971297.0,69378.0,3.55,14,10,4,71.43,17.0,5,0,9,2020/03/29,641.0,1672.0,2019/12/29,984.0,2485.0,2019/06/29,899.0,2323.0,2018/06/29,1344.0,3370.0
1720,1812,鹿島建設,建設業,1231.0,1252.0,800,BUY,3632,グリー,情報・通信業,486.0,469.0,2100,SELL,0.8199330936152652,0.9319563418941446,0.3114802743500712,0.004480299419895247,-0.13204486930993367,0.13204486930993367,1.1845578127674852,-0.56,1.67,967849.0,53769.0,2.65,18,14,4,77.78,18.0,5,0,13,2020/03/29,1155.0,404.0,2019/12/29,1458.0,493.0,2019/06/29,1510.0,510.0,2018/06/29,1646.0,587.0
2457,2327,日鉄ソリューションズ,情報・通信業,2942.0,2914.0,300,BUY,6301,小松製作所,機械,2125.0,2153.0,400,SELL,0.8994162962871001,0.9124234244944176,0.05059674436055322,0.03253103642222064,-0.4678276147567771,0.4678276147567771,0.11254030566200283,-2.49,1.49,954665.0,73436.0,3.73,13,11,2,84.62,16.0,9,0,4,2020/03/29,2686.0,1877.5,2019/12/29,3600.0,2642.0,2019/06/29,3515.0,2658.0,2018/06/29,2762.0,3122.0
1203,1605,国際石油開発帝石,鉱業,672.9,659.6,1500,BUY,8905,イオンモール,不動産業,1389.0,1390.0,700,SELL,0.8472400624264868,0.9435575669376759,0.1787028594337739,0.002041834227072623,-0.2927493389974074,0.2927493389974074,0.03096609299489338,-2.03,1.69,945680.0,67549.0,3.25,14,11,3,78.57,16.0,8,1,5,2020/03/29,599.2,1404.0,2019/12/29,1136.5,1938.0,2019/06/29,992.9,1653.0,2018/06/29,1132.5,1950.0
3274,3632,グリー,情報・通信業,486.0,469.0,2300,SELL,6395,タダノ,機械,890.0,892.0,1200,BUY,0.8127241726343579,0.8866800833973543,0.17882664815190208,0.004548701635231374,0.032679840154474546,0.032679840154474546,0.9331238715483751,0.14,0.78,928797.0,71446.0,3.37,13,10,3,76.92,16.0,6,1,6,2020/03/29,404.0,796.0,2019/12/29,493.0,1001.0,2019/06/29,510.0,1155.0,2018/06/29,587.0,1330.0
811,7186,コンコルディア・フィナンシャルグループ,銀行業,353.0,347.0,2700,SELL,7278,エクセディ,輸送用機器,1620.0,1574.0,600,BUY,0.7913786441057528,0.9509471244206593,0.24809207104793762,0.004705834408184074,1.552199239416508,1.552199239416508,1.2834139221929497,9.62,0.79,920510.0,65751.0,3.12,14,9,5,64.29,16.0,8,2,4,2020/03/29,340.0,1672.0,2019/12/29,452.0,2485.0,2019/06/29,412.0,2323.0,2018/06/29,553.0,3370.0
936,1719,安藤・間,建設業,609.0,604.0,1700,BUY,5991,日本発條,金属製品,693.0,693.0,1500,SELL,0.5902677913682283,0.9487449008553185,0.1293731381026259,0.07790970819688364,-1.5477406570980714,1.5477406570980714,1.443456863232497,-8.06,1.22,917849.0,53991.0,2.52,17,12,5,70.59,18.0,7,1,9,2020/03/29,687.0,747.0,2019/12/29,952.0,995.0,2019/06/29,748.0,857.0,2018/06/29,970.0,1025.0
460,4203,住友ベークライト,化学,2945.0,2890.0,300,BUY,6183,ベルシステム２４ホールディングス,サービス業,1372.0,1371.0,600,SELL,0.9493849242262189,0.9593237152164972,0.013875988181928485,0.0018536074728727318,-1.3612799814662306,1.3612799814662306,0.6141432686103091,-5.96,5.12,915137.0,50841.0,2.78,18,15,3,83.33,16.0,11,2,5,2020/03/29,2277.0,1152.0,2019/12/29,4115.0,1720.0,2019/06/29,3905.0,1520.0,2018/06/29,5305.0,1850.0
2513,3048,ビックカメラ,小売業,1155.0,1132.0,900,BUY,9715,トランス・コスモス,サービス業,2544.0,2541.0,400,SELL,0.9539159391359681,0.9107696988976945,0.03556543098122445,0.03143119818644858,-0.5888968762479351,0.5888968762479351,0.14853380366960903,-3.98,0.24,877981.0,51646.0,2.71,17,12,5,70.59,15.0,7,0,10,2020/03/29,901.0,1916.0,2019/12/29,1246.0,2968.0,2019/06/29,1091.0,2456.0,2018/06/29,1656.0,2590.0
