 発表日, 時刻, 決算, 連単, コード, 銘柄, 市場, 業種, 時価総額
 2/13, -, 3Q, 連,9707, ユニマットRC, JQ, サービス業, 131
 2/14, -, 3Q, 連,2181, パーソルHD, 東1, サービス業," 4,732"
 2/14, -, 3Q, 単,2334, イオレ, マザ, サービス業, 52
 2/14, -, 本, 連,2492, インフォマート, 東1, サービス業," 2,498"
 2/14, -, 1Q, 連,2498, オリコンHD, JQ, サービス業, 182
 2/14, -, 2Q, 連,3135, マーケットエンタ, マザ, 小売業, 150
 2/14, -, 3Q, 連,3184, ＩＣＤＡ, 東2, 小売業, 36
 2/14, -, 3Q, 単,3489, フェイスNW, マザ, 不動産業, 62
 2/14, -, 本, 連,4392, ＦＩＧ, 東1, 情報・通信業, 97
 2/14, -, 本, 単,4450, ＰＳＯＬ, マザ, 情報・通信業, 52
 2/14, -, 3Q, 連,4620, 藤倉化, 東1, 化学, 188
 2/14, -, 本, 連,5959, 岡　部, 東1, 金属製品, 519
 2/14, -, 2Q, 連,6038, イード, マザ, サービス業, 50
 2/14, -, 本, 連,6141, DMG森精, 東1, 機械," 2,238"
 2/14, -, 3Q, 連,6247, 日阪製, 東1, 機械, 338
 2/14, -, 3Q, 連,7199, プレミアG, 東1, その他金融業, 299
 2/14, -, 2Q, 連,9450, ファイバーGT, 東1, 情報・通信業, 290
 2/19, -, 本, 連,3975, AOITYOHD, 東1, 情報・通信業, 183
 2/20, -, 本, 単,8985, ＪＨＲ, 東証, ETF・REIT等," 3,699"
 2/27, -, 1Q, 連,4666, パーク24, 東1, 不動産業," 3,854"
 3/2, -, 3Q, 連,2593, 伊藤園, 東1, 食料品," 5,121"
 3/2, -, 2Q, 連,6267, ゼネパッカー, JQ, 機械, 37
 3/3, -, 3Q, 連,4750, ダイサン, 東2, サービス業, 51
 3/3, -, 本, 連,7590, タカショー, 東1, 卸売業, 74
 3/9, -, 1Q, 連,1383, ベルグアース, JQ, 水産・農林業, 31
 3/11, -, 2Q, 単,9262, シルバーライフ, マザ, 小売業, 275
 3/12, -, 本, 連,3995, SKIYAKI, マザ, 情報・通信業, 67
 3/13, -, 2Q, 単,2424, ブラス, 東1, サービス業, 54
 3/13, -, 3Q, 単,4431, スマレジ, マザ, 情報・通信業, 319
 3/13, -, 本, 連,7683, ダブルエー, マザ, 小売業, 169
 01月下旬, -, 3Q, 単,1723, 日本電技, JQ, 建設業, 258
 01月下旬, -, 3Q, 連,1941, 中電工, 東1, 建設業," 1,526"
 01月下旬, -, 3Q, 連,1946, トーエネク, 東1, 建設業, 753
 01月下旬, -, 3Q, 連,1959, 九電工, 東1, 建設業," 2,498"
 01月下旬, -, 3Q, 連,2148, ＩＴＭ, 東1, サービス業, 152
 01月下旬, -, 3Q, 連,2326, デジアーツ, 東1, 情報・通信業, 756
 01月下旬, -, 3Q, 単,2332, クエスト, JQ, 情報・通信業, 61
 01月下旬, -, 3Q, 連,3116, トヨタ紡織, 東1, 輸送用機器," 3,427"
 01月下旬, -, 3Q, 連,3132, マクニカ富士, 東1, 卸売業," 1,222"
 01月下旬, -, 3Q, 単,3177, ありがと, JQ, 小売業, 22
 01月下旬, -, 3Q, 連,3231, 野村不HD, 東1, 不動産業," 5,123"
 01月下旬, -, 3Q, 単,3564, LIXILビ, 東1, 小売業, 857
 01月下旬, -, 3Q, 単,3658, イーブック, 東1, 情報・通信業, 105
 01月下旬, -, 3Q, 連,3778, さくら, 東1, 情報・通信業, 259
 01月下旬, -, 3Q, 単,4333, 東邦システム, 東1, 情報・通信業, 128
 01月下旬, -, 1Q, 単,4393, バンクイノベ, マザ, 情報・通信業, 97
 01月下旬, -, 3Q, 連,4557, 医学生物, JQ, 医薬品, 229
 01月下旬, -, 3Q, 連,4684, オービック, 東1, 情報・通信業," 14,412"
 01月下旬, -, 3Q, 連,4689, ＺＨＤ, 東1, 情報・通信業," 19,965"
 01月下旬, -, 3Q, 単,6022, 赤阪鉄, 東2, 機械, 28
 01月下旬, -, 3Q, 連,6201, 豊田織機, 東1, 輸送用機器," 21,408"
 01月下旬, -, 3Q, 連,6301, コマツ, 東1, 機械," 26,367"
 01月下旬, -, 3Q, 連,6395, タダノ, 東1, 機械," 1,368"
 01月下旬, -, 3Q, 連,6645, オムロン, 東1, 電気機器," 13,818"
 01月下旬, -, 3Q, 連,6788, 日本トリム, 東1, 電気機器, 401
 01月下旬, -, 3Q, 連,7278, エクセディ, 東1, 輸送用機器," 1,238"
 01月下旬, -, 3Q, 連,7442, 中山福, 東1, 卸売業, 109
 01月下旬, -, 2Q, 単,7500, 西川計測, JQ, 卸売業, 155
 01月下旬, -, 3Q, 連,7995, バルカー, 東1, 化学, 488
 01月下旬, -, 3Q, 連,8242, H2Oリテイル, 東1, 小売業," 1,658"
 01月下旬, -, 3Q, 連,8304, あおぞら, 東1, 銀行業," 3,419"
 01月下旬, -, 3Q, 連,8309, 三住トラスト, 東1, 銀行業," 16,104"
 01月下旬, -, 3Q, 連,9055, アルプス物, 東2, 陸運業, 284
 01月下旬, -, 3Q, 連,9202, ＡＮＡ, 東1, 空運業," 12,915"
 01月下旬, -, 3Q, 連,9436, 沖縄セルラー, JQ, 情報・通信業," 1,110"
 01月下旬, -, 3Q, 連,9474, ゼンリン, 東1, 情報・通信業," 1,120"
 01月下旬, -, 3Q, 連,9502, 中部電, 東1, 電気・ガス業," 11,791"
 01月下旬, -, 3Q, 連,9504, 中国電, 東1, 電気・ガス業," 5,447"
 01月下旬, -, 3Q, 連,9531, 東ガス, 東1, 電気・ガス業," 11,822"
 01月下旬, -, 3Q, 連,9719, ＳＣＳＫ, 東1, 情報・通信業," 6,043"
 01月下旬, -, 3Q, 連,9936, 王将フード, 東1, 小売業," 1,507"
 01月上旬, -, 3Q, 連,3353, メディ一光, JQ, 小売業, 181
 01月中旬, -, 本, 連,2698, キャンドゥ, 東1, 小売業, 278
 01月中旬, -, 3Q, 連,3548, バロック, 東1, 小売業, 352
 01月中旬, -, 1Q, 連,4433, ヒトコムHD, 東1, 情報・通信業, 283
 01月中旬, -, 3Q, 連,7058, 共栄セキュリ, JQ, サービス業, 74
 02月上旬, -, 3Q, 連,1719, 安藤ハザマ, 東1, 建設業," 1,935"
 02月上旬, -, 3Q, 連,1812, 鹿　島, 東1, 建設業," 7,824"
 02月上旬, -, 3Q, 連,1824, 前田建, 東1, 建設業," 2,106"
 02月上旬, -, 3Q, 連,1860, 戸田建, 東1, 建設業," 2,381"
 02月上旬, -, 3Q, 連,1893, 五洋建, 東1, 建設業," 1,939"
 02月上旬, -, 3Q, 連,1964, 中外炉, 東1, 建設業, 145
 02月上旬, -, 3Q, 連,2108, 甜菜糖, 東1, 食料品, 313
 02月上旬, -, 3Q, 連,2173, 博　展, JQ, サービス業, 55
 02月上旬, -, 2Q, 連,2180, サニーサイド, 東1, サービス業, 155
 02月上旬, -, 3Q, 連,2288, 丸大食, 東1, 食料品, 626
 02月上旬, -, 3Q, 連,2349, エヌアイデイ, JQ, 情報・通信業, 184
 02月上旬, -, 3Q, 連,2454, オールアバウト, JQ, サービス業, 96
 02月上旬, -, 本, 連,2675, ダイナックHD, 東2, 小売業, 119
 02月上旬, -, 3Q, 連,2733, あらた, 東1, 卸売業, 803
 02月上旬, -, 3Q, 連,2768, 双  日, 東1, 卸売業," 4,480"
 02月上旬, -, 3Q, 連,2812, 焼津水, 東1, 食料品, 137
 02月上旬, -, 3Q, 連,2899, 永谷園HD, 東1, 食料品, 416
 02月上旬, -, 3Q, 連,2903, シノブフース, 東2, 食料品, 95
 02月上旬, -, 3Q, 連,2915, ケンコーマヨ, 東1, 食料品, 423
 02月上旬, -, 3Q, 連,3284, フージャース, 東1, 不動産業, 423
 02月上旬, -, 3Q, 連,3289, 東急不HD, 東1, 不動産業," 5,507"
 02月上旬, -, 3Q, 連,3401, 帝　人, 東1, 繊維製品," 4,167"
 02月上旬, -, 3Q, 連,3447, 信　和, 東1, 金属製品, 151
 02月上旬, -, 3Q, 単,3467, アグレ都市, 東1, 不動産業, 31
 02月上旬, -, 3Q, 連,3571, ソトー, 東1, 繊維製品, 135
 02月上旬, -, 3Q, 連,3600, フジックス, 東2, 繊維製品, 27
 02月上旬, -, 3Q, 連,3622, ネットイヤー, マザ, 情報・通信業, 43
 02月上旬, -, 3Q, 連,3626, ＴＩＳ, 東1, 情報・通信業," 5,733"
 02月上旬, -, 3Q, 単,3741, セック, 東1, 情報・通信業, 189
 02月上旬, -, 3Q, 連,3943, 大石産, 福証, パルプ・紙, 80
 02月上旬, -, 3Q, 連,4046, 大阪ソーダ, 東1, 化学, 862
 02月上旬, -, 3Q, 単,4080, 田中化研, JQ, 化学, 291
 02月上旬, -, 1Q, 単,4447, PBシステムズ, 福証, 情報・通信業, 24
 02月上旬, -, 3Q, 連,4548, 生化学, 東1, 医薬品, 722
 02月上旬, -, 3Q, 連,5192, 三星ベ, 東1, ゴム製品, 708
 02月上旬, -, 3Q, 連,5964, 洋刃物, 東2, 金属製品, 22
 02月上旬, -, 3Q, 連,5989, エイチワン, 東1, 金属製品, 246
 02月上旬, -, 3Q, 連,6240, ヤマシンフィルタ, 東1, 機械, 594
 02月上旬, -, 3Q, 連,6282, オイレス工, 東1, 機械, 584
 02月上旬, -, 本, 連,6537, WASHハウス, マザ, サービス業, 61
 02月上旬, -, 2Q, 連,6662, ユビテック, JQ, 電気機器, 43
 02月上旬, -, 3Q, 連,6832, アオイ電子, 東2, 電気機器, 303
 02月上旬, -, 3Q, 連,7057, エヌ・シー・エヌ, JQ, サービス業, 39
 02月上旬, -, 3Q, 単,7164, 全国保証, 東1, その他金融業," 3,168"
 02月上旬, -, 3Q, 連,7230, 日信工業, 東1, 輸送用機器," 1,454"
 02月上旬, -, 3Q, 連,7259, アイシン精, 東1, 輸送用機器," 12,362"
 02月上旬, -, 3Q, 連,7702, ＪＭＳ, 東1, 精密機器, 204
 02月上旬, -, 2Q, 連,7813, プラッツ, マザ, その他製品, 62
 02月上旬, -, 本, 連,7963, 興　研, JQ, その他製品, 70
 02月上旬, -, 3Q, 連,7971, 東　リ, 東1, 化学, 226
 02月上旬, -, 3Q, 連,8138, 三京化, 東2, 卸売業, 42
 02月上旬, -, 3Q, 連,8153, モスフード, 東1, 卸売業, 984
 02月上旬, -, 3Q, 連,8226, 理　経, 東2, 卸売業, 30
 02月上旬, -, 3Q, 連,8281, ゼビオHD, 東1, 小売業, 642
 02月上旬, -, 3Q, 連,9001, 東　武, 東1, 陸運業," 8,620"
 02月上旬, -, 本, 単,9284, カナディアン, 東証, ETF・REIT等, 281
 02月上旬, -, 3Q, 連,9364, 上　組, 東1, 倉庫運輸関連," 3,231"
 02月上旬, -, 3Q, 連,9613, NTTデータ, 東1, 情報・通信業," 20,603"
 02月上旬, -, 3Q, 連,9671, よみラント, 東1, サービス業, 386
 02月上旬, -, 3Q, 連,9887, 松屋フーズ, 東1, 小売業, 837
 02月上旬, -, 3Q, 連,9896, ＪＫＨＤ, 東1, 卸売業, 213
 02月中旬, -, 3Q, 単,1450, 田中建設, JQ, 建設業, 60
 02月中旬, -, 3Q, 連,1451, ＫＨＣ, 東2, 建設業, 31
 02月中旬, -, 本, 連,1605, 国際帝石, 東1, 鉱業," 16,012"
 02月中旬, -, 3Q, 連,1866, 北野建, 東1, 建設業, 181
 02月中旬, -, 本, 連,1899, 福田組, 東1, 建設業, 470
 02月中旬, -, 3Q, 連,1952, 日空調, 東1, 建設業, 542
 02月中旬, -, 3Q, 連,2134, サンキャピタル, JQ, サービス業, 42
 02月中旬, -, 2Q, 連,2385, 総医研, マザ, サービス業, 156
 02月中旬, -, 3Q, 連,2831, はごろも, 東2, 食料品, 270
 02月中旬, -, 1Q, 連,2974, 大英産業, 福証, 不動産業, 36
 02月中旬, -, 3Q, 連,2976, Nグランデ, 札証, 不動産業, 14
 02月中旬, -, 3Q, 連,3291, 飯田GHD, 東1, 不動産業," 5,721"
 02月中旬, -, 3Q, 連,3372, 関門海, 東2, 小売業, 52
 02月中旬, -, 本, 連,3606, レナウン, 東1, 繊維製品, 118
 02月中旬, -, 3Q, 単,3652, ＤＭＰ, マザ, 情報・通信業, 124
 02月中旬, -, 本, 単,3719, ジェクシード, JQ, 情報・通信業, 26
 02月中旬, -, 2Q, 連,3856, Abalance, 東2, 電気機器, 30
 02月中旬, -, 3Q, 連,3896, 阿波製紙, 東1, パルプ・紙, 61
 02月中旬, -, 本, 連,3902, ＭＤＶ, 東1, 情報・通信業, 345
 02月中旬, -, 3Q, 連,3963, シンクロフード, 東1, 情報・通信業, 149
 02月中旬, -, 本, 連,4245, ダイキアクシス, 東1, 化学, 125
 02月中旬, -, 本, 連,4251, 恵　和, 東2, 化学, 84
 02月中旬, -, 3Q, 連,4390, ｉｐｓ, マザ, 情報・通信業, 143
 02月中旬, -, 3Q, 連,4425, Kudan, マザ, 情報・通信業, 591
 02月中旬, -, 3Q, 単,4435, カオナビ, マザ, 情報・通信業, 444
 02月中旬, -, 3Q, 連,4442, バルテス, マザ, 情報・通信業, 115
 02月中旬, -, 本, 単,4448, Chatwork, マザ, 情報・通信業, 385
 02月中旬, -, 本, 連,4449, ギフティ, マザ, 情報・通信業, 390
 02月中旬, -, 1Q, 連,4475, HENNGE, マザ, 情報・通信業, 256
 02月中旬, -, 本, 単,4476, AI CROSS, マザ, 情報・通信業, 91
 02月中旬, -, 本, 連,4477, ＢＡＳＥ, マザ, 情報・通信業, 341
 02月中旬, -, 本, 連,4631, ＤＩＣ, 東1, 化学," 2,940"
 02月中旬, -, 3Q, 連,4691, ワシントンホテル, 東2, サービス業, 165
 02月中旬, -, 2Q, 連,4845, スカラ, 東1, 情報・通信業, 130
 02月中旬, -, 3Q, 連,6082, ライドオンEX, 東1, サービス業, 213
 02月中旬, -, 3Q, 連,6408, 小倉クラ, JQ, 機械, 50
 02月中旬, -, 3Q, 連,6424, 高見サイ, JQ, 機械, 64
 02月中旬, -, 3Q, 連,6517, デンヨー, 東1, 電気機器, 484
 02月中旬, -, 2Q, 単,6597, HPCシステムス, マザ, 電気機器, 78
 02月中旬, -, 3Q, 連,6706, 電気興, 東1, 電気機器, 449
 02月中旬, -, 3Q, 連,6819, 伊豆ＳＲ, JQ, サービス業, 36
 02月中旬, -, 本, 連,6870, フェンオール, 東2, 電気機器, 90
 02月中旬, -, 3Q, 連,7059, コプロHD, マザ, サービス業, 141
 02月中旬, -, 3Q, 連,7060, ギークス, マザ, サービス業, 176
 02月中旬, -, 2Q, 連,7063, エードット, マザ, サービス業, 72
 02月中旬, -, 3Q, 連,7067, ブランディン, マザ, サービス業, 33
 02月中旬, -, 1Q, 単,7072, インテＭ, マザ, サービス業, 76
 02月中旬, -, 3Q, 連,7239, タチエス, 東1, 輸送用機器, 528
 02月中旬, -, 3Q, 連,7242, ＫＹＢ, 東1, 輸送用機器, 859
 02月中旬, -, 2Q, 連,7325, アイリック, マザ, 保険業, 106
 02月中旬, -, 3Q, 連,7593, ＶＴＨＤ, 東1, 小売業, 580
 02月中旬, -, 2Q, 単,7674, NATTY, マザ, 小売業, 77
 02月中旬, -, 1Q, 単,7676, グッドスピ, マザ, 小売業, 43
 02月中旬, -, 1Q, 連,7681, レオクラン, 東2, 卸売業, 60
 02月中旬, -, 3Q, 連,7749, メディキット, JQ, 精密機器, 658
 02月中旬, -, 1Q, 単,7800, アミファ, JQ, その他製品, 31
 02月中旬, -, 3Q, 連,8152, ソマール, 東2, 卸売業, 37
 02月中旬, -, 2Q, 連,8928, 穴吹興産, 東1, 不動産業, 199
 02月中旬, -, 本, 連,9672, 都競馬, 東1, サービス業," 1,007"
 02月中旬, -, 本, 連,9755, 応用地, 東1, サービス業, 422
 03月上旬, -, 3Q, 連,2910, ロックフィール, 東1, 食料品, 409
 03月上旬, -, 3Q, 連,3770, ザッパラス, 東1, 情報・通信業, 57
 03月上旬, -, 1Q, 連,4996, クミアイ化, 東1, 化学," 1,405"
 03月上旬, -, 2Q, 連,6040, 日本スキー, マザ, サービス業, 135
 03月上旬, -, 本, 連,6696, トランザス, マザ, 電気機器, 47
 03月上旬, -, 本, 連,6757, OSGコーポ, JQ, 電気機器, 100
 03月上旬, -, 2Q, 単,7682, 浜木綿, JQ, 小売業, 25
 03月中旬, -, 本, 単,2163, アルトナー, 東1, サービス業, 85
 03月中旬, -, 本, 単,3282, コンフォリア, 東証, ETF・REIT等," 2,140"
 03月中旬, -, 本, 単,3463, いちごホテ, 東証, ETF・REIT等, 336
 03月中旬, -, 2Q, 単,3497, リーガル不, マザ, 不動産業, 37
 03月中旬, -, 本, 単,4380, Ｍマート, マザ, 情報・通信業, 40
 03月中旬, -, 2Q, 連,4422, VALUENEX, マザ, 情報・通信業, 53
 03月中旬, -, 1Q, 単,4441, トビラシステム, マザ, 情報・通信業, 226
 03月中旬, -, 3Q, 連,6065, ライクキッズ, 東1, サービス業, 86
 03月中旬, -, 本, 単,7064, ハウテレビ, マザ, サービス業, 30
 03月中旬, -, 本, 連,7073, ジェイック, マザ, サービス業, 70
 04月中旬, -, 本, 単,3281, ＧＬＰ, 東証, ETF・REIT等," 5,194"
 04月中旬, -, 本, 単,3466, ラサールロジ, 東証, ETF・REIT等," 2,114"
 12月下旬, -, 2Q, 単,8155, 三益半, 東1, 金属製品, 772
