,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
313,6770,アルプスアルパイン,電気機器,6923,スタンレー電気,電気機器,0.9246468271282506,0.9526187556087368,0.12695459284292554,0.005142983012966407,2053.0,2076.0,2776.0,2798.0,2.1654245261343203,2.1654245261343203,5.2,400,300,1.07,126111.0,12611.0,0.84,10,6,4,60.0
204,1911,住友林業,建設業,6923,スタンレー電気,電気機器,0.9382203322975176,0.9261401711773444,0.008309818483559892,0.1672418050085709,1452.0,1446.0,2776.0,2798.0,2.162903609427435,2.162903609427435,3.81,600,300,3.36,171718.0,9540.0,0.49,18,9,9,50.0
227,8309,三井住友トラスト・ホールディングス,銀行業,8385,伊予銀行,銀行業,0.9358232449109114,0.9415664950129612,0.01044007155698945,0.15909699170672234,3769.0,3770.0,558.0,564.0,-2.088650304515781,2.088650304515781,-4.53,200,1300,2.76,-86749.0,-5103.0,-0.27,17,8,9,47.06
315,7186,コンコルディア・フィナンシャルグループ,銀行業,7211,三菱自動車工業,輸送用機器,0.9244718950815516,0.9062345212898854,0.30062259890905263,0.2950117877682219,407.0,410.0,467.0,468.0,2.08117459805992,2.08117459805992,6.21,2400,2100,0.12,83508.0,5219.0,0.28,16,7,9,43.75
452,1860,戸田建設,建設業,8002,丸紅,卸売業,0.9087566193300086,0.94831111303949,0.07068479776480566,0.3146683389657948,604.0,609.0,694.9,694.1,2.073777421728553,2.073777421728553,4.18,1600,1400,0.27,107158.0,5640.0,0.25,19,11,8,57.89
188,5802,住友電気工業,非鉄金属,7202,いすゞ自動車,輸送用機器,0.9401118740373158,0.9090230571800332,0.0970667490408158,0.16661231060437176,1341.0,1347.5,1143.0,1148.5,2.0548912436823263,2.0548912436823263,4.18,700,800,2.59,50886.0,3914.0,0.19,13,8,5,61.54
83,6995,東海理化電機製作所,輸送用機器,8002,丸紅,卸売業,0.9562352682029196,0.9289465877704648,0.029299117138482364,0.022020180851821888,1791.0,1804.0,694.9,694.1,2.0477532322306757,2.0477532322306757,4.56,500,1300,0.04,67694.0,4513.0,0.27,15,9,6,60.0
486,7201,日産自動車,輸送用機器,7278,エクセディ,輸送用機器,0.9034523465756548,0.918507240925384,0.30649160966662603,0.6710855012126731,657.9,660.1,2084.0,2092.0,-2.045948847021537,2.045948847021537,-6.53,1300,400,2.55,436642.0,27290.0,1.64,16,12,4,75.0
516,7278,エクセディ,輸送用機器,7731,ニコン,精密機器,0.9002104480515241,0.9266593699381466,0.5191668552436294,0.0519431711650146,2084.0,2092.0,1328.0,1325.0,2.0198913515126034,2.0198913515126034,6.05,400,600,5.0,115609.0,6801.0,0.43,17,9,8,52.94
458,7201,日産自動車,輸送用機器,9810,日鉄物産,卸売業,0.9077810993790912,0.907841847724112,0.06185376029702003,0.0458972875130546,657.9,660.1,4265.0,4250.0,-2.007913074166736,2.007913074166736,-7.21,1300,200,0.96,70126.0,5009.0,0.13,14,8,6,57.14
37,7189,西日本フィナンシャルホールディングス,銀行業,8377,ほくほくフィナンシャルグループ,銀行業,0.9643033422536758,0.9589438796139036,0.42857382622620177,0.17447768988626905,738.0,735.0,1015.0,1023.0,1.9989139834360188,1.9989139834360188,3.71,1300,900,3.78,6325.0,422.0,-0.04,15,9,6,60.0
311,1983,東芝プラントシステム,建設業,8377,ほくほくフィナンシャルグループ,銀行業,0.9247382020645538,0.9498366500785956,0.1241472987258806,0.006900994178567779,1905.0,1903.0,1015.0,1023.0,1.9953771452889943,1.9953771452889943,5.45,500,900,3.24,-309966.0,-17220.0,-0.93,18,8,10,44.44
160,6472,ＮＴＮ,機械,6473,ジェイテクト,機械,0.94387534556477,0.9348210767208072,0.4148592414328971,0.44776536243756015,313.0,310.0,1220.0,1216.0,1.967696000247156,1.967696000247156,4.26,3100,800,1.21,-23821.0,-1191.0,-0.05,20,10,10,50.0
