,SYM_A,SYM_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y
0,4118,4401,0.9928245697241117,0.9279906187541841,0.021946773328505535,0.3562017997198509
1,3861,5411,0.9847081875106296,0.9438857894106422,0.0005291641042021577,0.5038510065509753
2,5201,5214,0.984062889972969,0.9305653816816187,0.0011344932355084035,0.05580214661496224
3,5802,8309,0.9827861441365682,0.9044241122118863,0.039075666381478726,0.3518027452246165
4,6471,6472,0.9822332051636572,0.9512449167055428,0.01003783770449033,0.17216892111475768
5,8309,8341,0.97980387497144,0.9170547613374628,0.21038424813981077,0.36411372498261274
6,4902,5401,0.9796837454967677,0.9085821506625921,0.10876114014115401,0.26917021777504335
7,5401,5411,0.9793614822443206,0.9546220424585761,0.15819593368354007,0.333859296477694
8,5802,7267,0.9776548985032505,0.9463569764338571,0.522772756643917,0.2560340712925958
9,3861,5401,0.975193871822454,0.9260276863423663,0.25162856100273145,0.47021148106051647
10,7167,7189,0.9750931225399969,0.944535766909326,0.303215133615899,0.4489339566101503
11,7186,8309,0.9748543956708627,0.9539488917773672,0.039592059251220973,0.06176542108690857
12,5802,7211,0.9738822220144862,0.9365240529100624,0.036769454003226315,0.0378768724039984
13,4208,6473,0.9737335601394259,0.9052635820237719,0.018836704979850568,0.09840419902182346
14,6752,8242,0.973429501693048,0.9107666724168715,1.385135960673787e-05,0.7328793941691246
15,7211,7259,0.9724194038096831,0.9234502563900726,0.04484744219806864,0.24729417842483375
16,5411,6586,0.971346470477898,0.9282622488107115,0.0006924906951789068,0.0831966204843762
17,3861,5406,0.9709036580490277,0.9278997949399401,0.04470989511675785,0.8952097681771329
18,8309,8359,0.9708585611901057,0.9269477964640044,0.05673859640777463,0.4973845271292383
19,6752,7167,0.9706588835600154,0.9609688869526973,0.05620734656673494,0.04525401271188399
20,6473,7259,0.9704068018159184,0.9076269896537269,0.107471893035478,0.41787026549674944
21,8306,8411,0.9698869186398712,0.960227081250487,0.48993047953767177,0.9583977971124711
22,4182,5803,0.9692650027777344,0.923333904673998,0.20144115382964922,0.882248661824605
23,5411,7731,0.9691670286569563,0.909534710356912,0.0012542006404313894,0.14335147167627882
24,7167,8242,0.969121674938457,0.9093922999415597,0.05936661044369302,0.9360093248644539
25,5201,7012,0.9680897070982979,0.9511446476138197,0.1389925117091707,0.003021923302466885
26,4182,5802,0.9677701051772227,0.9400140621094029,0.3277940744210238,0.22890442043193654
27,6301,6305,0.9674660327375731,0.924443162173579,0.36890828149876387,0.01741214491211441
28,5020,5021,0.9672927366652556,0.9291224144211836,0.5075491063063696,0.4469428912475356
29,5233,7261,0.9669629318058984,0.900246182703144,0.0025487689169279046,0.24655692070236462
30,6752,7278,0.9668577964651113,0.96559740777024,0.020806283260416718,0.00765101452480326
31,7167,9810,0.9665602186268044,0.9118914370436111,0.006469946078617594,0.40712496856837493
32,4182,4208,0.9661455709715848,0.9308445324056644,0.05707161408882007,0.08198651859058187
33,6371,7278,0.9658651558411264,0.9454557442234928,0.059834071312221446,0.01762958079193909
34,5020,8316,0.9655554328461683,0.9049937164245092,0.049817600915918456,0.25588981227874597
35,5401,9404,0.9654634095215132,0.9494941955722073,0.1906459596559908,0.02580737241777474
36,3099,8242,0.9646985725415144,0.9746887134911918,0.008936186241532104,0.0005428826813532237
37,7189,8377,0.9643033422536758,0.9589438796139035,0.42857382622620177,0.17447768988626905
38,6287,6465,0.9642325988588102,0.9174878152489863,0.0002818458032769993,0.002603626650790714
39,3861,5214,0.9631429353594219,0.9020237251357323,0.18767193173587532,0.09455999146197464
40,6371,6473,0.9624833119621453,0.9186091067575826,0.005660328364830212,0.37500337152515245
41,7186,8308,0.9622391340763551,0.9413102689110551,0.13051196877301152,0.25808955793059496
42,7211,8242,0.9622383986610844,0.9492045312332874,0.0289410053551599,0.10234427091969206
43,7167,9505,0.9619860796194173,0.9319495859112257,0.0011309782905811047,0.22670085951844565
44,5214,5411,0.9619222033422185,0.9119933061630109,0.004501194498140729,0.0938825401182028
45,5411,7201,0.9616807676809667,0.9630815701560582,0.1706609462538421,0.9709621330157373
46,7278,7846,0.9615241727920298,0.9425296422051322,0.0065716675825151245,0.1232175837337029
47,5214,7261,0.961484206667628,0.9211483045052362,0.028238083158356502,0.5164982726150146
48,5406,7731,0.9613732376507254,0.9117633379760041,0.004237223190103464,0.273195152636335
49,3861,7751,0.9613225485869769,0.9116960268381209,0.05486371618735429,0.01762963059386909
50,5802,5803,0.9611981717005095,0.9616072300793501,0.31907352445952786,0.007231425969748757
51,5406,5411,0.9611620183394674,0.9818817209485474,0.14571209061951496,0.6210063981634046
52,1333,9956,0.9611489007863092,0.9022944608156602,0.0010779352495268774,0.658453312580115
53,3099,7211,0.960699656098777,0.9527078740371058,0.004197456790263552,0.08047827235945759
54,4182,8309,0.9606655757366559,0.9042586401687418,0.029074823068181748,0.080183534601528
55,4061,8377,0.9602799344895324,0.9113359733286888,0.026824906858699805,0.022195055084576195
56,4208,6371,0.9601524692958969,0.94535055952479,0.0018712672290558594,0.0039779355700194745
57,7186,8359,0.960029182140827,0.9000227915551636,0.27102934849884996,0.7288636515834368
58,7167,7846,0.9598501261871664,0.9411508040146292,0.005891738407877035,0.16282641689654914
59,7186,8341,0.9596943654989122,0.9396526143876796,0.13866604393901066,0.13104280021460496
60,4182,6995,0.95966154258275,0.9242539503298302,0.2088187317951491,0.06980768043231386
61,4208,5803,0.959495737423707,0.9350979662308773,0.0025696129661501223,0.13168475660179096
62,5020,7167,0.9591057383152423,0.9548011433886453,0.11798151215970454,0.061125459959049486
63,4182,6472,0.959078736415291,0.945507996579202,0.1195378298877805,0.1499289116224704
64,7186,8750,0.9587046649416039,0.9361373413387519,0.0092236077459666,0.2631439985562628
65,8242,9810,0.9586722943273136,0.9168371433919819,0.0022300621785150436,0.08964955738252334
