,AXIS_SYMBOL,PAIR_SYMBOL,OPEN_DATE,SIGMA,OPEN_CAT,AXIS_SYMB_OPEN_PRI,AXIS_SYMB_LOT,AXIS_OPEN_MOUNT,PAIR_SYMB_OPEN_PRI,PAIR_SYMB_LOT,PAIR_OPEN_MOUNT,LOT_DIFF(%),CLOSE_DATE,OPEN_DAYS,CLOSE_CAT,AXIS_SYMB_CLOSE_PRI,PAIR_SYMB_CLOSE_PRI,AXIS_CLOSE_MOUNT,PAIR_CLOSE_MOUNT,TOTAL,COMMISSION_N,COMMISSION_CREDIT,PROFIT,PL
0,5411,7201,2017-01-27,2.05,SELL,2037.5,400,815000.0,1152.0,700,806400.0,1.06,2017-02-08,12,STOP_LOSS_OVER_RATIO,2083.0,1127.5,833200.0,789250.0,-35350.0,1540.0000000000002,1599,-38489.0,-2.37
1,5411,7201,2017-02-09,2.01,SELL,2091.5,400,836600.0,1120.0,700,784000.0,6.29,2017-02-23,14,STOP_LOSS_OVER_RATIO,2193.5,1112.5,877400.0,778750.0,-46050.0,1540.0000000000002,1865,-49455.0,-3.05
2,5411,7201,2017-02-24,2.08,SELL,2169.0,400,867600.0,1112.0,800,889600.0,2.54,2017-03-09,13,STOP_PROFIT_OVER_RATIO,2125.0,1150.5,850000.0,920400.0,48400.0,1540.0000000000002,1878,44982.0,2.56
3,5411,7201,2017-05-16,-2.1,BUY,1821.5,500,910750.0,1102.5,800,882000.0,3.16,2017-05-24,8,STOP_PROFIT_OVER_RATIO,1911.0,1080.0,955500.0,864000.0,62750.0,1540.0000000000002,1179,60031.0,3.35
4,5411,7201,2017-07-20,2.12,SELL,2091.0,400,836400.0,1128.0,700,789600.0,5.6,2017-08-03,14,STOP_LOSS_OVER_RATIO,2245.5,1093.5,898200.0,765450.0,-85950.0,1540.0000000000002,1871,-89361.0,-5.5
5,5411,7201,2017-08-04,3.8,SELL,2250.0,400,900000.0,1091.0,800,872800.0,3.02,2017-08-21,17,SL_MAX_DAY_OVER,2198.5,1100.0,879400.0,880000.0,27800.0,1540.0000000000002,2477,23783.0,1.34
6,5411,7201,2017-10-26,2.36,SELL,2454.5,400,981800.0,1087.0,900,978300.0,0.36,2017-11-13,18,SL_MAX_DAY_OVER,2577.5,1090.5,1031000.0,981450.0,-46050.0,1540.0000000000002,2900,-50490.0,-2.58
7,5411,7201,2017-11-14,2.17,SELL,2531.0,300,759300.0,1084.5,700,759150.0,0.02,2017-11-30,16,SL_MAX_DAY_OVER,2645.0,1082.0,793500.0,757400.0,-35950.0,1540.0000000000002,1997,-39487.0,-2.6
8,5411,7201,2017-12-01,2.19,SELL,2684.0,300,805200.0,1092.0,700,764400.0,5.07,2017-12-18,17,SL_MAX_DAY_OVER,2694.0,1098.5,808200.0,768950.0,1550.0,1540.0000000000002,2193,-2183.0,-0.14
9,5411,7201,2018-03-05,-2.02,BUY,2301.0,400,920400.0,1107.0,800,885600.0,3.78,2018-03-16,11,STOP_LOSS_OVER_RATIO,2218.5,1123.0,887400.0,898400.0,-45800.0,1540.0000000000002,1633,-48973.0,-2.71
10,5411,7201,2018-03-19,-2.3,BUY,2235.0,400,894000.0,1123.0,800,898400.0,0.49,2018-04-04,16,SL_MAX_DAY_OVER,2150.0,1102.0,860000.0,881600.0,-17200.0,1540.0000000000002,2357,-21097.0,-1.18
11,5411,7201,2018-08-02,3.61,SELL,2500.5,300,750150.0,1055.0,700,738500.0,1.55,2018-08-20,18,SL_MAX_DAY_OVER,2450.0,1038.0,735000.0,726600.0,3250.0,1540.0000000000002,2202,-492.0000000000002,-0.03
12,5411,7201,2018-11-01,-2.05,BUY,2135.5,400,854200.0,1026.0,800,820800.0,3.91,2018-11-19,18,SL_MAX_DAY_OVER,2090.0,1006.0,836000.0,804800.0,-2200.0,1540.0000000000002,2478,-6218.0,-0.37
13,5411,7201,2018-11-20,-2.05,BUY,2048.0,400,819200.0,941.0,900,846900.0,3.38,2018-12-03,13,STOP_LOSS_OVER_RATIO,2048.0,1004.0,819200.0,903600.0,-56700.0,1540.0000000000002,1780,-60020.0,-3.6
14,5411,7201,2019-04-02,2.38,SELL,1967.5,500,983750.0,928.3,1100,1021130.0,3.8,2019-04-18,16,SL_MAX_DAY_OVER,1975.5,957.5,987750.0,1053250.0,28120.00000000005,1540.0000000000002,2637,23943.00000000005,1.19
15,5411,7201,2019-04-25,2.14,SELL,1918.0,500,959000.0,898.6,1100,988460.0,3.07,2019-05-13,18,SL_MAX_DAY_OVER,1757.0,853.5,878500.0,938850.0,30889.999999999978,1540.0000000000002,2881,26468.999999999978,1.36
16,5411,7201,2019-05-30,-3.03,BUY,1514.5,600,908700.0,769.7,1200,923640.0,1.64,2019-06-17,18,SL_MAX_DAY_OVER,1509.5,760.8,905700.0,912960.0,7680.000000000109,1540.0000000000002,2711,3429.000000000109,0.19
17,5411,7201,2019-07-25,-2.29,BUY,1506.5,600,903900.0,750.0,1200,900000.0,0.43,2019-08-08,14,STOP_LOSS_OVER_RATIO,1280.0,676.9,768000.0,812280.0,-48179.99999999997,1540.0000000000002,2076,-51795.99999999997,-2.87
18,5411,7201,2019-08-14,-2.97,BUY,1236.0,800,988800.0,662.8,1500,994199.9999999999,0.55,2019-08-30,16,SL_MAX_DAY_OVER,1229.0,638.6,983200.0,957900.0,30699.999999999898,1540.0000000000002,2608,26551.999999999898,1.34
