,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,892400,909200,3116,2231,400,2273,SL_MAX_DAY_OVER,2017-11-22,3152,1540.0000000000002,0.87,BUY,2017-11-01,21,869600,917200,4204,2174,400,2293,1.43,26108.0,-2.34,30800
1,930400,960000,3116,2326,400,2400,SL_MAX_DAY_OVER,2018-02-26,3422,1540.0000000000002,6.51,SELL,2018-02-05,21,1015000,1022500,4204,2030,500,2045,0.86,17138.0,2.74,22100
2,901600,960000,3116,2254,400,2400,SL_MAX_DAY_OVER,2018-05-07,3899,1540.0000000000002,2.34,SELL,2018-04-12,25,925000,937500,4204,1850,500,1875,2.13,40461.0,2.24,45900
3,1071000,1015500,3116,2142,500,2031,SL_MAX_DAY_OVER,2018-07-23,3393,1540.0000000000002,6.45,BUY,2018-07-02,21,975000,950000,4204,1950,500,1900,1.3,25567.0,-2.57,30500
4,937500,1018500,3116,1875,500,2037,STOP_PROFIT_OVER_RATIO,2018-11-02,1532,1540.0000000000002,3.39,SELL,2018-10-24,9,1094400,1053000,4204,1824,600,1755,5.76,119328.0,3.17,122400
5,973000,1066100,3116,1390,700,1523,SL_MAX_DAY_OVER,2019-05-29,3637,1540.0000000000002,2.41,BUY,2019-05-08,21,940200,1041000,4204,1567,600,1735,0.12,2523.0,-2.55,7700
6,1228800,1132800,3116,1536,800,1416,SL_MAX_DAY_OVER,2019-09-24,3994,1540.0000000000002,5.29,SELL,2019-09-02,22,1223600,1075900,4204,1748,700,1537,2.09,46166.0,2.03,51700
7,1041000,927000,3116,1735,600,1545,STOP_PROFIT_OVER_RATIO,2019-11-11,1697,1540.0000000000002,2.42,BUY,2019-10-31,11,963000,950000,4204,1926,500,1900,5.21,97763.0,-2.58,101000
8,862500,923500,3116,1725,500,1847,SL_MAX_DAY_OVER,2020-01-06,3862,1540.0000000000002,3.4,SELL,2019-12-12,25,941500,956000,4204,1883,500,1912,2.19,41098.0,3.16,46500
9,972600,948000,3116,1621,600,1580,SL_MAX_DAY_OVER,2020-02-21,3292,1540.0000000000002,1.2,BUY,2020-01-31,21,897500,959500,4204,1795,500,1919,4.29,81768.0,-3.18,86600
10,1134000,1078200,3116,1260,900,1198,SL_MAX_DAY_OVER,2020-04-13,3628,1540.0000000000002,5.29,SELL,2020-03-23,21,1120000,1024000,4204,1400,800,1280,1.67,35032.0,2.72,40200
11,1048800,1024800,3116,1311,800,1281,SL_MAX_DAY_OVER,2020-05-15,3633,1540.0000000000002,5.11,SELL,2020-04-24,21,1070400,1080000,4204,1338,800,1350,-1.84,-38773.0,2.03,-33600
12,991900,982100,3116,1417,700,1403,SL_MAX_DAY_OVER,2020-06-12,3405,1540.0000000000002,0.85,SELL,2020-05-22,21,1068200,990500,4204,1526,700,1415,3.19,62955.0,2.1,67900
