,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,952500,1002000,1941,3175,300,3340,SL_MAX_DAY_OVER,2017-11-08,3538,1540.0000000000002,4.55,SELL,2017-10-18,21,1027800,1047600,1942,1142,900,1164,1.2,24622.0,2.15,29700
1,886500,957000,1941,2955,300,3190,SL_MAX_DAY_OVER,2018-02-13,3510,1540.0000000000002,2.82,BUY,2018-01-22,22,960000,984000,1942,1200,800,1230,-2.66,-51550.0,-2.59,-46500
2,871500,877200,1941,2905,300,2924,SL_MAX_DAY_OVER,2018-03-07,2931,1540.0000000000002,6.4,BUY,2018-02-14,21,815500,821100,1942,1165,700,1173,-0.27,-4571.0,-2.24,-100
3,971600,1037600,1941,2429,400,2594,SL_MAX_DAY_OVER,2018-10-22,3608,1540.0000000000002,1.48,BUY,2018-10-01,21,990000,1053000,1942,1100,900,1170,-0.39,-8148.0,-2.2,-3000
4,966000,948000,1941,2415,400,2370,SL_MAX_DAY_OVER,2018-11-22,3233,1540.0000000000002,2.45,BUY,2018-11-01,21,896000,924800,1942,1120,800,1156,2.24,42027.0,-3.02,46800
5,922400,923200,1941,2306,400,2308,SL_MAX_DAY_OVER,2019-03-05,3136,1540.0000000000002,3.2,SELL,2019-02-12,21,905400,893700,1942,1006,900,993,0.43,7824.0,2.11,12500
6,920400,917600,1941,2301,400,2294,SL_MAX_DAY_OVER,2019-04-16,3239,1540.0000000000002,4.51,SELL,2019-03-26,21,947000,959000,1942,947,1000,959,-1.04,-19579.0,2.21,-14800
7,916800,915200,1941,2292,400,2288,SL_MAX_DAY_OVER,2019-05-09,3195,1540.0000000000002,2.27,SELL,2019-04-18,21,901000,936000,1942,901,1000,936,-2.23,-41335.0,2.11,-36600
8,884000,908000,1941,2210,400,2270,SL_MAX_DAY_OVER,2019-05-31,3109,1540.0000000000002,1.65,SELL,2019-05-10,21,879000,893000,1942,879,1000,893,0.3,5351.0,2.32,10000
9,1191000,1089000,1941,2382,500,2178,SL_MAX_DAY_OVER,2019-09-19,3719,1540.0000000000002,2.15,BUY,2019-08-29,21,1186800,1065600,1942,989,1200,888,-1.14,-24459.0,-2.05,-19200
10,985600,983200,1941,2464,400,2458,SL_MAX_DAY_OVER,2019-10-17,3445,1540.0000000000002,3.03,BUY,2019-09-26,21,1013000,1013000,1942,1013,1000,1013,-0.13,-2585.0,-2.01,2400
11,1039200,1029600,1941,2598,400,2574,SL_MAX_DAY_OVER,2019-12-06,3641,1540.0000000000002,4.9,BUY,2019-11-15,21,1077000,1080000,1942,1077,1000,1080,0.35,7419.0,-2.19,12600
12,971600,992000,1941,2429,400,2480,SL_MAX_DAY_OVER,2020-02-21,3464,1540.0000000000002,2.32,SELL,2020-01-31,21,1001000,1015000,1942,1001,1000,1015,0.07,1396.0,2.57,6400
13,876800,886400,1941,2192,400,2216,STOP_LOSS_OVER_RATIO,2020-03-23,2768,1540.0000000000002,0.05,SELL,2020-03-04,19,785000,886000,1942,785,1000,886,-5.4,-95708.0,2.36,-91400
14,800000,884000,1941,2000,400,2210,STOP_PROFIT_OVER_RATIO,2020-04-03,1465,1540.0000000000002,1.66,SELL,2020-03-24,10,908600,898700,1942,826,1100,817,5.1,90895.0,3.72,93900
15,895200,894800,1941,2238,400,2237,SL_MAX_DAY_OVER,2020-06-15,3044,1540.0000000000002,2.94,BUY,2020-05-25,21,856800,868500,1942,952,900,965,0.43,7516.0,-2.12,12100
