,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,798000,818700,6724,2660,300,2729,SL_MAX_DAY_OVER,2017-11-20,2880,1540.0000000000002,3.68,BUY,2017-10-30,21,856400.0,850000.0,7751,4282.0,200,4250.0,-1.89,-31520.0,-3.51,-27100.0
1,825600,868800,6724,2064,400,2172,SL_MAX_DAY_OVER,2018-03-01,2906,1540.0000000000002,6.63,BUY,2018-02-08,21,814000.0,814800.0,7751,4070.0,200,4074.0,-2.78,-46846.0,-2.73,-42400.0
2,960500,1009000,6724,1921,500,2018,SL_MAX_DAY_OVER,2018-08-21,3598,1540.0000000000002,6.18,SELL,2018-07-31,21,1052400.0,1075500.0,7751,3508.0,300,3585.0,0.97,20262.0,2.05,25400.0
3,926500,934000,6724,1853,500,1868,SL_MAX_DAY_OVER,2018-11-19,3269,1540.0000000000002,2.71,SELL,2018-10-29,21,965100.0,960000.0,7751,3217.0,300,3200.0,0.41,7791.0,4.27,12600.0
4,820000,946500,6724,1640,500,1893,STOP_PROFIT_OVER_RATIO,2018-12-10,1885,1540.0000000000002,1.93,SELL,2018-11-28,12,937500.0,965100.0,7751,3125.0,300,3217.0,4.99,95475.0,2.11,98900.0
5,904800,958800,6724,1508,600,1598,SL_MAX_DAY_OVER,2019-01-04,3299,1540.0000000000002,0.66,BUY,2018-12-14,21,870000.0,952500.0,7751,2900.0,300,3175.0,1.24,23661.0,-2.03,28500.0
6,830000,897000,6724,1660,500,1794,SL_MAX_DAY_OVER,2019-05-10,3206,1540.0000000000002,6.62,SELL,2019-04-19,21,913200.0,960600.0,7751,3044.0,300,3202.0,0.8,14854.0,2.4,19600.0
7,843000,853800,6724,1405,600,1423,SL_MAX_DAY_OVER,2019-08-30,2961,1540.0000000000002,0.94,BUY,2019-08-09,21,828000.0,861900.0,7751,2760.0,300,2873.0,1.08,18599.0,-2.33,23100.0
8,808500,862000,6724,1617,500,1724,SL_MAX_DAY_OVER,2020-01-06,3653,1540.0000000000002,5.88,SELL,2019-12-12,25,892500.0,915900.0,7751,2975.0,300,3053.0,1.4,24907.0,2.76,30100.0
9,807000,838500,6724,1614,500,1677,SL_MAX_DAY_OVER,2020-02-25,2923,1540.0000000000002,1.93,SELL,2020-02-04,21,802800.0,855000.0,7751,2676.0,300,2850.0,-1.49,-25163.0,2.77,-20700.0
10,605500,813000,6724,1211,500,1626,STOP_PROFIT_OVER_RATIO,2020-03-12,2021,1540.0000000000002,1.63,SELL,2020-02-26,15,700350.0,826500.0,7751,2334.5,300,2755.0,4.74,77789.0,2.15,81350.0
11,970000,1048000,6724,970,1000,1048,STOP_LOSS_OVER_RATIO,2020-04-06,4139,1540.0000000000002,0.19,BUY,2020-03-13,24,1075000.0,1050000.0,7751,2150.0,500,2100.0,-5.18,-108679.0,-2.03,-103000.0
12,1096200,964800,6724,1218,900,1072,STOP_PROFIT_OVER_RATIO,2020-04-30,3601,1540.0000000000002,2.62,BUY,2020-04-07,23,919200.0,940200.0,7751,2298.0,400,2350.5,7.73,147259.0,-2.16,152400.0
13,752400,886800,6724,1254,600,1478,STOP_PROFIT_OVER_RATIO,2020-06-26,2559,1540.0000000000002,6.14,SELL,2020-06-09,17,910600.0,944800.0,7751,2276.5,400,2362.0,5.25,96101.0,2.1,100200.0
