,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1056000,1006800,1808,1760,600,1678,SL_MAX_DAY_OVER,2017-11-22,2725,1540.0000000000002,5.48,SELL,2017-11-06,16,1104000,1065200,2379,2760,400,2663,-0.71,-14665.0,2.08,-10400
1,1044000,1046400,1808,1740,600,1744,STOP_PROFIT_OVER_RATIO,2017-12-01,1210,1540.0000000000002,0.98,SELL,2017-11-24,7,1172400,1056800,2379,2931,400,2642,5.48,115250.0,2.32,118000
2,1083000,1056000,1808,1805,600,1760,STOP_PROFIT_OVER_RATIO,2018-01-22,1041,1540.0000000000002,0.14,BUY,2018-01-16,6,1017000,1054500,2379,3390,300,3515,2.93,61919.0,-2.39,64500
3,1041600,1082400,1808,1736,600,1804,STOP_LOSS_OVER_RATIO,2018-01-31,1210,1540.0000000000002,6.12,BUY,2018-01-24,7,1035000,1020000,2379,3450,300,3400,-2.78,-58550.0,-2.02,-55800
4,910800,1029000,1808,1518,600,1715,STOP_LOSS_OVER_RATIO,2018-02-16,2550,1540.0000000000002,1.01,BUY,2018-02-01,15,984000,1039500,2379,3280,300,3465,-3.23,-66790.0,-2.36,-62700
5,1015800,982200,1808,1693,600,1637,STOP_LOSS_OVER_RATIO,2018-04-20,329,1540.0000000000002,3.82,SELL,2018-04-18,2,964000,1021200,2379,2410,400,2553,-4.63,-92669.0,2.65,-90800
6,1020000,1006800,1808,1700,600,1678,STOP_PROFIT_OVER_RATIO,2018-04-27,664,1540.0000000000002,0.55,SELL,2018-04-23,4,1076000,1012400,2379,2690,400,2531,2.39,48196.0,2.71,50400
7,999600,1038600,1808,1666,600,1731,STOP_PROFIT_OVER_RATIO,2018-05-10,1566,1540.0000000000002,3.73,SELL,2018-05-01,9,1088000,1078800,2379,2720,400,2697,2.13,45094.0,2.18,48200
8,987000,1027600,1808,1410,700,1468,STOP_PROFIT_OVER_RATIO,2018-10-19,329,1540.0000000000002,5.24,SELL,2018-10-17,2,976400,976400,2379,2441,400,2441,1.93,38731.0,2.35,40600
9,998900,960400,1808,1427,700,1372,STOP_PROFIT_OVER_RATIO,2018-11-02,461,1540.0000000000002,5.77,SELL,2018-10-30,3,999600,908000,2379,2499,400,2270,2.73,51099.0,2.09,53100
10,993600,1048000,1808,1242,800,1310,STOP_LOSS_OVER_RATIO,2018-12-18,881,1540.0000000000002,4.42,SELL,2018-12-13,5,975500,1096500,2379,1951,500,2193,-3.22,-69021.0,2.01,-66600
11,923200,977600,1808,1154,800,1222,STOP_PROFIT_OVER_RATIO,2018-12-28,1418,1540.0000000000002,4.06,SELL,2018-12-19,9,915000,939500,2379,1830,500,1879,1.41,26942.0,3.48,29900
12,1114200,1008000,1808,1238,900,1120,STOP_LOSS_OVER_RATIO,2019-01-17,2183,1540.0000000000002,2.61,SELL,2019-01-04,13,1102200,1035000,2379,1837,600,1725,-2.09,-42723.0,2.28,-39000
13,837900,868700,1808,1197,700,1241,STOP_PROFIT_OVER_RATIO,2019-01-24,443,1540.0000000000002,6.44,SELL,2019-01-21,3,962500,928500,2379,1925,500,1857,3.5,62817.0,2.26,64800
14,980700,954100,1808,1401,700,1363,SL_MAX_DAY_OVER,2019-03-01,2574,1540.0000000000002,4.92,SELL,2019-02-13,16,987000,1003500,2379,1974,500,2007,-2.41,-47214.0,2.11,-43100
15,1005200,1006600,1808,1436,700,1438,STOP_LOSS_OVER_RATIO,2019-03-11,820,1540.0000000000002,1.73,SELL,2019-03-06,5,925000,989500,2379,1850,500,1979,-3.28,-65460.0,2.23,-63100
16,828600,868200,1808,1381,600,1447,STOP_PROFIT_OVER_RATIO,2019-03-28,2348,1540.0000000000002,5.37,SELL,2019-03-12,16,950000,917500,2379,1900,500,1835,3.82,68212.0,3.09,72100
17,938700,952700,1808,1341,700,1361,STOP_PROFIT_OVER_RATIO,2019-04-23,1101,1540.0000000000002,0.95,SELL,2019-04-16,7,1002000,961800,2379,1670,600,1603,2.69,51559.0,2.59,54200
18,1034600,991200,1808,1478,700,1416,SL_MAX_DAY_OVER,2019-12-12,2550,1540.0000000000002,4.56,BUY,2019-11-26,16,972000,948000,2379,3240,300,3160,0.79,15310.0,-2.04,19400
19,1092000,1029700,1808,1560,700,1471,STOP_PROFIT_OVER_RATIO,2020-01-23,1364,1540.0000000000002,1.37,BUY,2020-01-15,8,1039500,1044000,2379,3465,300,3480,3.08,63896.0,-2.7,66800
20,1040900,1040200,1808,1487,700,1486,SL_MAX_DAY_OVER,2020-02-12,2768,1540.0000000000002,2.33,BUY,2020-01-27,16,1080000,1065000,2379,3600,300,3550,-0.88,-18608.0,-2.04,-14300
21,969600,1097600,1808,1212,800,1372,STOP_LOSS_OVER_RATIO,2020-03-10,1406,1540.0000000000002,5.5,SELL,2020-03-02,8,872400,1040400,2379,2181,400,2601,-2.01,-42946.0,3.73,-40000
22,823200,903000,1808,1176,700,1290,STOP_LOSS_OVER_RATIO,2020-03-13,296,1540.0000000000002,0.51,SELL,2020-03-11,2,732800,898400,2379,1832,400,2246,-4.86,-87636.0,3.17,-85800
23,1053000,1017900,1808,1170,900,1131,STOP_LOSS_OVER_RATIO,2020-03-19,491,1540.0000000000002,4.78,SELL,2020-03-16,3,843500,971500,2379,1687,500,1943,-8.3,-165131.0,2.63,-163100
