,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1027800,1043100,1803,1142,900,1159,SL_MAX_DAY_OVER,2017-08-30,2684,1540.0000000000002,4.57,BUY,2017-08-14,16,993000.0,997500.0,4919,3310.0,300,3325.0,-0.74,-15024.0,-2.09,-10800.0
1,1060800,1110400,1803,1326,800,1388,STOP_PROFIT_OVER_RATIO,2017-11-09,535,1540.0000000000002,4.71,SELL,2017-11-06,3,1089000.0,1060500.0,4919,3630.0,300,3535.0,3.5,76025.0,2.34,78100.0
2,861000,880600,1803,1230,700,1258,SL_MAX_DAY_OVER,2017-12-18,2382,1540.0000000000002,6.87,BUY,2017-12-01,17,788000.0,824000.0,4919,3940.0,200,4120.0,0.73,12478.0,-3.24,16400.0
3,834400,815500,1803,1192,700,1165,STOP_PROFIT_OVER_RATIO,2018-01-05,2107,1540.0000000000002,3.62,BUY,2017-12-20,16,759000.0,787000.0,4919,3795.0,200,3935.0,2.7,43253.0,-2.28,46900.0
4,1109900,1062600,1803,1009,1100,966,STOP_LOSS_OVER_RATIO,2018-02-20,882,1540.0000000000002,2.02,BUY,2018-02-15,5,1212000.0,1084500.0,4919,4040.0,300,3615.0,-3.85,-82622.0,-2.18,-80200.0
5,808000,812000,1803,1010,800,1015,STOP_LOSS_OVER_RATIO,2018-02-23,272,1540.0000000000002,3.79,BUY,2018-02-21,2,903000.0,844000.0,4919,4515.0,200,4220.0,-3.91,-64812.0,-2.56,-63000.0
6,882900,918900,1803,981,900,1021,SL_MAX_DAY_OVER,2018-03-14,2417,1540.0000000000002,0.01,BUY,2018-02-26,16,907000.0,919000.0,4919,4535.0,200,4595.0,-1.52,-27957.0,-2.75,-24000.0
7,1017900,1003500,1803,1131,900,1115,STOP_LOSS_OVER_RATIO,2018-07-06,2620,1540.0000000000002,1.47,SELL,2018-06-20,16,953000.0,989000.0,4919,4765.0,200,4945.0,-2.74,-54560.0,2.37,-50400.0
8,936800,908000,1803,1171,800,1135,SL_MAX_DAY_OVER,2018-07-25,2416,1540.0000000000002,2.26,SELL,2018-07-09,16,976000.0,929000.0,4919,4880.0,200,4645.0,0.78,14244.0,2.53,18200.0
9,830700,883800,1803,923,900,982,STOP_PROFIT_OVER_RATIO,2018-11-09,424,1540.0000000000002,5.72,SELL,2018-11-06,3,842000.0,836000.0,4919,4210.0,200,4180.0,3.32,57136.0,2.16,59100.0
10,1043900,1027400,1803,949,1100,934,STOP_PROFIT_OVER_RATIO,2019-02-21,508,1540.0000000000002,0.64,BUY,2019-02-18,3,987000.0,1034000.0,4919,4935.0,200,5170.0,2.98,61452.0,-2.17,63500.0
11,1030700,1030700,1803,937,1100,937,STOP_LOSS_OVER_RATIO,2019-04-18,1036,1540.0000000000002,3.67,BUY,2019-04-12,6,1128000.0,1070000.0,4919,5640.0,200,5350.0,-2.88,-60576.0,-2.14,-58000.0
12,571800,558000,1803,953,600,930,SL_MAX_DAY_OVER,2019-05-07,1660,1540.0000000000002,1.06,BUY,2019-04-19,18,578000.0,564000.0,4919,5780.0,100,5640.0,-0.3,-3400.0,-2.4,-200.0
13,1006500,1021900,1803,915,1100,929,STOP_LOSS_OVER_RATIO,2019-05-10,341,1540.0000000000002,2.86,BUY,2019-05-08,2,1074000.0,1052000.0,4919,5370.0,200,5260.0,-1.89,-39281.0,-2.18,-37400.0
14,507000,521400,1803,845,600,869,STOP_PROFIT_OVER_RATIO,2019-08-06,706,1540.0000000000002,5.71,BUY,2019-07-29,8,495000.0,553000.0,4919,4950.0,100,5530.0,3.85,41354.0,-2.04,43600.0
15,1037300,994400,1803,943,1100,904,STOP_LOSS_OVER_RATIO,2019-09-11,328,1540.0000000000002,0.46,SELL,2019-09-09,2,984000.0,999000.0,4919,4920.0,200,4995.0,-3.0,-59768.0,2.2,-57900.0
16,985000,967000,1803,985,1000,967,STOP_PROFIT_OVER_RATIO,2019-10-01,3075,1540.0000000000002,3.49,SELL,2019-09-12,19,1066000.0,1002000.0,4919,5330.0,200,5010.0,2.1,41385.0,3.28,46000.0
17,1110000,1104000,1803,1110,1000,1104,STOP_PROFIT_OVER_RATIO,2020-02-13,1593,1540.0000000000002,5.14,SELL,2020-02-04,9,1220000.0,1050000.0,4919,6100.0,200,5250.0,7.47,160867.0,2.08,164000.0
