,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1024500,1059000,7272,3415,300,3530,STOP_LOSS_OVER_RATIO,2017-11-13,894,1540.0000000000002,5.53,BUY,2017-11-08,5,1144000,1117600,9101,2860,400,2794,-2.91,-63334.0,-2.69,-60900
1,1074000,1024500,7272,3580,300,3415,STOP_PROFIT_OVER_RATIO,2017-11-17,517,1540.0000000000002,4.64,BUY,2017-11-14,3,1054000,1072000,9101,2635,400,2680,3.12,65443.0,-2.63,67500
2,1050000,1002000,7272,3500,300,3340,STOP_LOSS_OVER_RATIO,2018-02-20,956,1540.0000000000002,6.59,SELL,2018-02-14,6,946400,936000,9101,2366,400,2340,-2.07,-40096.0,2.14,-37600
3,976500,1014000,7272,3255,300,3380,SL_MAX_DAY_OVER,2018-03-12,2867,1540.0000000000002,8.88,SELL,2018-02-22,18,888800,924000,9101,2222,400,2310,-0.11,-2107.0,2.08,2300
4,1023000,987000,7272,3410,300,3290,STOP_PROFIT_OVER_RATIO,2018-04-20,2339,1540.0000000000002,5.98,SELL,2018-04-06,14,1130000,1046000,9101,2260,500,2092,2.17,44121.0,2.03,48000
5,852000,922500,7272,2840,300,3075,SL_MAX_DAY_OVER,2018-06-25,2581,1540.0000000000002,0.21,BUY,2018-06-08,17,884000,924400,9101,2210,400,2311,-1.85,-34221.0,-2.27,-30100
6,823200,825600,7272,2744,300,2752,STOP_LOSS_OVER_RATIO,2018-06-29,415,1540.0000000000002,3.68,BUY,2018-06-26,3,886400,856000,9101,2216,400,2140,-2.07,-34755.0,-2.01,-32800
7,849300,921000,7272,2831,300,3070,STOP_PROFIT_OVER_RATIO,2018-10-15,2605,1540.0000000000002,8.84,SELL,2018-09-27,18,815600,839600,9101,2039,400,2099,2.47,43555.0,2.61,47700
8,926400,920000,7272,2316,400,2300,STOP_LOSS_OVER_RATIO,2018-11-06,599,1540.0000000000002,1.9,BUY,2018-11-02,4,940000,902500,9101,1880,500,1805,-1.82,-33239.0,-2.97,-31100
9,908000,923200,7272,2270,400,2308,SL_MAX_DAY_OVER,2018-11-26,2953,1540.0000000000002,4.8,BUY,2018-11-07,19,929500,967500,9101,1859,500,1935,0.97,18307.0,-3.15,22800
10,980000,901200,7272,2450,400,2253,SL_MAX_DAY_OVER,2019-04-19,2279,1540.0000000000002,7.68,SELL,2019-04-03,16,912500,832000,9101,1825,500,1664,-0.12,-2119.0,2.11,1700
11,792800,916000,7272,1982,400,2290,STOP_LOSS_OVER_RATIO,2019-05-09,306,1540.0000000000002,3.06,BUY,2019-05-07,2,887000,944000,9101,1774,500,1888,-3.66,-68046.0,-2.3,-66200
12,940000,975000,7272,1880,500,1950,SL_MAX_DAY_OVER,2019-05-27,2825,1540.0000000000002,7.38,BUY,2019-05-10,17,995400,1047000,9101,1659,600,1745,0.61,12235.0,-3.47,16600
13,924800,916400,7272,2312,400,2291,SL_MAX_DAY_OVER,2019-12-02,2650,1540.0000000000002,6.99,SELL,2019-11-15,17,945000,980500,9101,1890,500,1961,-2.54,-48090.0,3.48,-43900
14,920000,906800,7272,2300,400,2267,STOP_PROFIT_OVER_RATIO,2019-12-18,2280,1540.0000000000002,3.94,SELL,2019-12-03,15,1015000,942500,9101,2030,500,1885,3.0,55480.0,2.12,59300
15,687000,999600,7272,1145,600,1666,STOP_LOSS_OVER_RATIO,2020-03-23,2894,1540.0000000000002,7.21,BUY,2020-03-06,17,892500,1071700,9101,1275,700,1531,-6.65,-137834.0,-2.16,-133400
16,1108800,983200,7272,1386,800,1229,STOP_PROFIT_OVER_RATIO,2020-03-27,498,1540.0000000000002,5.1,BUY,2020-03-24,3,1093600,1036000,9101,1367,800,1295,3.27,65962.0,-3.41,68000
17,1040800,979200,7272,1301,800,1224,STOP_LOSS_OVER_RATIO,2020-04-07,817,1540.0000000000002,2.86,BUY,2020-04-02,5,1104000,1008000,9101,1380,800,1260,-1.85,-36757.0,-2.32,-34400
18,1020000,1028800,7272,1275,800,1286,SL_MAX_DAY_OVER,2020-04-27,3139,1540.0000000000002,5.86,BUY,2020-04-09,18,1100800,1092800,9101,1376,800,1366,-1.01,-21479.0,-2.11,-16800
