,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1146000,1092400,2327,2865,400,2731,SL_MAX_DAY_OVER,2017-12-12,3883,1540.0000000000002,5.92,SELL,2017-11-21,21,1289400.0,1157100.0,8053,1842.0,700,1653.0,3.26,73277.0,2.57,78700.0
1,819300,957000,2327,2731,300,3190,SL_MAX_DAY_OVER,2018-02-15,3317,1540.0000000000002,0.84,SELL,2018-01-25,21,894250.0,965000.0,8053,1788.5,500,1930.0,3.23,62093.0,2.18,66950.0
2,957000,931500,2327,3190,300,3105,SL_MAX_DAY_OVER,2018-04-06,3153,1540.0000000000002,3.89,SELL,2018-03-16,21,891250.0,895250.0,8053,1782.5,500,1790.5,-1.87,-34193.0,2.37,-29500.0
3,1039500,996000,2327,3465,300,3320,SL_MAX_DAY_OVER,2018-08-29,3356,1540.0000000000002,4.79,SELL,2018-08-08,21,913000.0,948250.0,8053,1826.0,500,1896.5,-4.3,-83646.0,3.38,-78750.0
4,1080000,1051500,2327,3600,300,3505,SL_MAX_DAY_OVER,2018-09-20,3718,1540.0000000000002,4.88,SELL,2018-08-30,21,1130100.0,1102800.0,8053,1883.5,600,1838.0,-0.3,-6458.0,2.17,-1200.0
5,777000,879000,2327,2590,300,2930,SL_MAX_DAY_OVER,2019-01-04,3372,1540.0000000000002,5.55,BUY,2018-12-11,24,760750.0,830250.0,8053,1521.5,500,1660.5,-2.19,-37412.0,-2.27,-32500.0
6,1129600,1052400,2327,2824,400,2631,SL_MAX_DAY_OVER,2019-01-28,3739,1540.0000000000002,5.82,BUY,2019-01-07,21,1170050.0,1113700.0,8053,1671.5,700,1591.0,0.72,15571.0,-2.16,20850.0
7,988500,960000,2327,3295,300,3200,SL_MAX_DAY_OVER,2019-05-29,3237,1540.0000000000002,4.62,SELL,2019-05-08,21,939900.0,915600.0,8053,1566.5,600,1526.0,-0.48,-8977.0,2.98,-4200.0
8,1060500,982500,2327,3535,300,3275,SL_MAX_DAY_OVER,2019-06-20,3301,1540.0000000000002,5.34,SELL,2019-05-30,21,974100.0,930000.0,8053,1623.5,600,1550.0,-2.03,-38741.0,2.3,-33900.0
9,1065000,1074000,2327,3550,300,3580,STOP_PROFIT_OVER_RATIO,2019-09-11,3714,1540.0000000000002,0.37,SELL,2019-08-21,21,1206450.0,1078000.0,8053,1723.5,700,1540.0,6.14,132196.0,2.07,137450.0
10,1041000,1068000,2327,3470,300,3560,SL_MAX_DAY_OVER,2019-10-03,3664,1540.0000000000002,1.24,BUY,2019-09-12,21,996300.0,1054800.0,8053,1660.5,600,1758.0,1.24,26296.0,-2.2,31500.0
11,731000,780000,2327,3655,200,3900,SL_MAX_DAY_OVER,2019-12-26,2774,1540.0000000000002,6.03,SELL,2019-12-05,21,813750.0,827000.0,8053,1627.5,500,1654.0,1.96,31436.0,2.13,35750.0
12,999000,1005000,2327,3330,300,3350,SL_MAX_DAY_OVER,2020-02-19,3436,1540.0000000000002,1.91,BUY,2020-01-29,21,989400.0,985800.0,8053,1649.0,600,1643.0,-0.73,-14576.0,-2.0,-9600.0
13,824400,857100,2327,2748,300,2857,STOP_PROFIT_OVER_RATIO,2020-05-11,1953,1540.0000000000002,1.95,SELL,2020-04-27,14,903700.0,840350.0,8053,1291.0,700,1200.5,5.45,92557.0,2.16,96050.0
