,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,1152800,1089600,4091,1441,800,1362,SL_MAX_DAY_OVER,2017-11-14,3824,1540.0000000000002,3.34,SELL,2017-10-24,21,1171000,1126000,9716,1171,1000,1126,-1.06,-23564.0,2.63,-18200
1,1021200,993600,4091,1702,600,1656,SL_MAX_DAY_OVER,2018-02-01,3467,1540.0000000000002,2.17,SELL,2018-01-11,21,990400,1015200,9716,1238,800,1269,-2.86,-57407.0,2.02,-52400
2,945000,978000,4091,1575,600,1630,SL_MAX_DAY_OVER,2018-02-28,3294,1540.0000000000002,4.87,SELL,2018-02-07,21,852000,930400,9716,1065,800,1163,-2.63,-50234.0,2.04,-45400
3,967800,1007400,4091,1613,600,1679,SL_MAX_DAY_OVER,2018-05-30,3468,1540.0000000000002,0.57,SELL,2018-05-09,21,1026000,1001700,9716,1140,900,1113,2.93,58892.0,2.71,63900
4,1007400,972600,4091,1679,600,1621,STOP_PROFIT_OVER_RATIO,2018-07-09,2733,1540.0000000000002,1.09,BUY,2018-06-22,17,888000,983200,9716,1110,800,1229,6.43,125727.0,-2.05,130000
5,902500,918500,4091,1805,500,1837,STOP_PROFIT_OVER_RATIO,2018-07-24,1931,1540.0000000000002,3.23,SELL,2018-07-11,13,959200,888800,9716,1199,800,1111,4.59,82929.0,2.77,86400
6,1080000,983400,4091,1800,600,1639,STOP_PROFIT_OVER_RATIO,2018-10-30,2338,1540.0000000000002,6.57,BUY,2018-10-16,14,976800,1048000,9716,1221,800,1310,8.07,163922.0,-2.43,167800
7,939500,951500,4091,1879,500,1903,STOP_PROFIT_OVER_RATIO,2018-12-19,2924,1540.0000000000002,3.21,BUY,2018-11-30,19,820200,921000,9716,1367,600,1535,4.5,84336.0,-2.44,88800
8,950400,1044000,4091,1584,600,1740,STOP_LOSS_OVER_RATIO,2019-02-14,1570,1540.0000000000002,3.26,BUY,2019-02-05,9,1127000,1078000,9716,1610,700,1540,-6.87,-145710.0,-2.01,-142600
9,1112300,1099000,4091,1589,700,1570,SL_MAX_DAY_OVER,2019-03-08,3791,1540.0000000000002,0.13,BUY,2019-02-15,21,1064000,1097600,9716,1520,700,1568,1.89,41569.0,-2.39,46900
10,1044000,1050000,4091,2088,500,2100,SL_MAX_DAY_OVER,2019-06-05,3588,1540.0000000000002,2.0,SELL,2019-05-15,21,937300,1029000,9716,1339,700,1470,-4.37,-90828.0,2.88,-85700
11,1141500,1034500,4091,2283,500,2069,STOP_LOSS_OVER_RATIO,2019-06-17,1915,1540.0000000000002,4.71,SELL,2019-06-06,11,1076800,1083200,9716,1346,800,1354,-5.52,-116855.0,2.04,-113400
12,894000,918400,4091,2235,400,2296,STOP_PROFIT_OVER_RATIO,2019-07-08,3079,1540.0000000000002,3.96,SELL,2019-06-18,20,1060500,954800,9716,1515,700,1364,6.7,125481.0,2.2,130100
13,996000,959200,4091,2490,400,2398,SL_MAX_DAY_OVER,2019-11-05,3275,1540.0000000000002,2.21,SELL,2019-10-15,21,954100,938000,9716,1363,700,1340,-1.34,-25515.0,3.3,-20700
14,989200,1059200,4091,2473,400,2648,STOP_PROFIT_OVER_RATIO,2019-12-02,4259,1540.0000000000002,3.85,SELL,2019-11-08,24,1128000,1100000,9716,1410,800,1375,4.27,92201.0,2.03,98000
15,688500,990500,4091,1377,500,1981,STOP_PROFIT_OVER_RATIO,2020-03-23,3859,1540.0000000000002,2.47,SELL,2020-02-28,24,663000,966000,9716,663,1000,966,-0.33,-6399.0,2.05,-1000
16,968400,1029600,4091,1614,600,1716,STOP_PROFIT_OVER_RATIO,2020-04-24,1338,1540.0000000000002,2.37,SELL,2020-04-16,8,1047200,1005200,9716,748,1400,718,4.93,100322.0,2.88,103200
