,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,600000,603000,4569,2000,300,2010,SL_MAX_DAY_OVER,2018-03-08,2014,1540.0000000000002,6.91,BUY,2018-02-15,21,590000,564000,8279,5900,100,5640,-2.79,-32554.0,-2.92,-29000
1,603900,605700,4569,2013,300,2019,SL_MAX_DAY_OVER,2018-03-30,2043,1540.0000000000002,4.79,BUY,2018-03-09,21,574000,578000,8279,5740,100,5780,-0.12,-1383.0000000000002,-2.03,2200
2,753600,653700,4569,2512,300,2179,SL_MAX_DAY_OVER,2018-09-27,2200,1540.0000000000002,5.27,BUY,2018-09-06,21,699000,621000,8279,6990,100,6210,1.42,18160.0,-2.59,21900
3,763500,711900,4569,2545,300,2373,STOP_PROFIT_OVER_RATIO,2018-10-11,1154,1540.0000000000002,2.88,BUY,2018-10-01,10,655000,692000,8279,6550,100,6920,6.12,85906.0,-2.09,88600
4,1147200,1162800,4569,1912,600,1938,STOP_PROFIT_OVER_RATIO,2019-06-06,3892,1540.0000000000002,6.48,BUY,2019-05-16,21,966000,1092000,8279,4830,200,5460,4.66,104968.0,-3.22,110400
5,1150200,1047000,4569,1917,600,1745,SL_MAX_DAY_OVER,2019-10-29,3514,1540.0000000000002,5.86,BUY,2019-10-08,21,1024000,989000,8279,5120,200,4945,3.1,63146.0,-2.23,68200
6,1132200,1112400,4569,1887,600,1854,SL_MAX_DAY_OVER,2019-11-29,3739,1540.0000000000002,5.54,BUY,2019-11-08,21,1030000,1054000,8279,5150,200,5270,1.78,38521.0,-2.27,43800
7,1246000,1155000,4569,1780,700,1650,STOP_PROFIT_OVER_RATIO,2020-03-17,741,1540.0000000000002,5.19,BUY,2020-03-13,4,1024000,1098000,8279,5120,200,5490,7.22,162719.0,-2.33,165000
8,663000,600000,4569,2210,300,2000,STOP_PROFIT_OVER_RATIO,2020-04-06,1429,1540.0000000000002,6.54,BUY,2020-03-23,14,656000,642000,8279,6560,100,6420,3.71,46031.0,-2.56,49000
