,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,OPEN_A,CLOSE_A,AXIS_LOT_SIZE,TRADE_A,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,OPEN_B,CLOSE_B,PAIR_LOT_SIZE,TRADE_B,CORR_3M,CORR_1Y,COINT_3M,COINT_1Y,SIGMA,ABS_SIGMA,LAST_DAY_SIGMA,DEV_RATE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times,open_days,stop_profit_times,stop_loss_times,max_day_over_times,DATE_3M_ago,CLOSE_A_3M_ago,CLOSE_B_3M_ago,DATE_6M_ago,CLOSE_A_6M_ago,CLOSE_B_6M_ago,DATE_1y_ago,CLOSE_A_1y_ago,CLOSE_B_1y_ago,DATE_2y_ago,CLOSE_A_2y_ago,CLOSE_B_2y_ago
2604,9412,スカパーＪＳＡＴホールディングス,情報・通信業,442.0,438.0,2300,BUY,9715,トランス・コスモス,サービス業,2588.0,2567.0,400,SELL,0.9226167009754743,0.8955146900082078,0.16255485258596286,0.0581156967591958,-1.3626624098552005,1.3626624098552005,1.2781723290737144,-13.1,1.89,-7354.0,-566.0,-0.04,13,7,6,53.85,17.0,3,3,7,2020/03/02,453.0,2374.0,2019/12/02,462.0,2899.0,2019/06/02,410.0,2340.0,2018/06/02,495.0,2683.0
513,4114,日本触媒,化学,5940.0,6020.0,100,SELL,5214,日本電気硝子,ガラス・土石製品,1742.0,1742.0,300,BUY,0.8893591215823343,0.9550684848560596,0.49960620414688667,0.009793195375550358,0.4327671271829968,0.4327671271829968,0.4864627523400419,2.84,13.19,-7736.0,-967.0,-0.38,8,4,4,50.0,16.0,1,3,4,2020/03/02,5490.0,1788.0,2019/12/02,6760.0,2349.0,2019/06/02,6590.0,2571.0,2018/06/02,8580.0,2980.0
698,5711,三菱マテリアル,非鉄金属,2423.0,2486.0,400,BUY,6141,ＤＭＧ森精機,機械,1330.0,1359.0,700,SELL,0.7752201597343436,0.9498800221244292,0.041014603276492596,0.03656808398800749,-0.8891990694823764,0.8891990694823764,0.8063417610084929,-11.85,4.33,-7865.0,-605.0,0.04,13,7,6,53.85,17.0,4,3,6,2020/03/02,2395.0,1340.0,2019/12/02,2950.0,1729.0,2019/06/02,2769.0,1311.0,2018/06/02,3145.0,1854.0
1210,6201,豊田自動織機,輸送用機器,5560.0,5660.0,100,BUY,8850,スターツコーポレーション,不動産業,2200.0,2236.0,300,SELL,0.9269548066828739,0.9374005254105812,0.009730066385348169,0.061281390348450565,-0.04551145729910491,0.04551145729910491,0.06570875909950301,-0.16,18.52,-9519.0,-3173.0,0.54,3,2,1,66.67,21.0,0,0,3,2020/03/02,5680.0,2232.0,2019/12/02,6420.0,2653.0,2019/06/02,5540.0,2513.0,2018/06/02,6610.0,2835.0
3368,4631,ＤＩＣ,化学,2770.0,2806.0,300,SELL,8802,三菱地所,不動産業,1723.5,1761.5,500,BUY,0.6659918379394162,0.8620863964631542,0.4197465312169655,0.09765197102845347,1.6784252288434598,1.6784252288434598,1.9021183602168965,10.19,4.63,-9544.0,-868.0,0.06,11,6,5,54.55,20.0,1,1,9,2020/03/02,2570.0,1853.5,2019/12/02,2996.0,1988.0,2019/06/02,2615.0,2043.0,2018/06/02,3535.0,1974.5
883,9072,ニッコンホールディングス,陸運業,2164.0,2204.0,400,BUY,9303,住友倉庫,倉庫・運輸関連業,1339.0,1366.0,600,SELL,0.8022357740462847,0.9454622370131527,0.05465026395710203,0.061238064889607126,-1.1008604066627208,1.1008604066627208,1.10120076641036,-3.87,7.03,-9620.0,-601.0,-0.04,16,7,9,43.75,21.0,1,0,15,2020/03/02,2089.0,1270.0,2019/12/02,2685.0,1480.0,2019/06/02,2456.0,1371.0,2018/06/02,3040.0,1398.0
1465,6135,牧野フライス製作所,機械,3350.0,3435.0,300,SELL,6592,マブチモーター,電気機器,3550.0,3590.0,300,BUY,0.8425972600971467,0.9311798710489341,0.22472008319339926,0.04860437888066198,0.27514562206324583,0.27514562206324583,0.2288782319758917,1.75,4.32,-9916.0,-1417.0,0.2,7,4,3,57.14,20.0,1,0,6,2020/03/02,3700.0,3640.0,2019/12/02,5310.0,4300.0,2019/06/02,3665.0,3485.0,2018/06/02,4865.0,5180.0
3445,1959,九電工,建設業,2991.0,2994.0,300,BUY,3092,ＺＯＺＯ,小売業,2065.0,2109.0,400,SELL,0.6863972883025758,0.8572609263909496,0.08635276695837474,0.0350516465794546,-1.6319610587958593,1.6319610587958593,1.5617224157498693,-22.66,6.08,-10059.0,-629.0,-0.03,16,6,10,37.5,17.0,4,3,9,2020/03/02,2856.0,1475.0,2019/12/02,3530.0,2151.0,2019/06/02,3045.0,1788.0,2018/06/02,5410.0,3880.0
1555,4634,東洋インキＳＣホールディングス,化学,2098.0,2116.0,500,BUY,9107,川崎汽船,海運業,1158.0,1139.0,900,SELL,0.5283045308233555,0.9284403412334904,0.05842782262553179,0.06401308426673011,-0.4620886039835772,0.4620886039835772,0.6977189381674986,-6.34,3.11,-10096.0,-594.0,0.06,17,10,7,58.82,15.0,4,5,8,2020/03/02,2087.0,1224.0,2019/12/02,2656.0,1912.0,2019/06/02,2228.0,1201.0,2018/06/02,3040.0,2287.0
1502,5929,三和ホールディングス,金属製品,931.0,964.0,1100,BUY,9613,エヌ・ティ・ティ・データ,情報・通信業,1259.0,1271.0,800,SELL,0.9049100839857982,0.930082437045998,0.1048660832676413,0.08699062809162639,-0.08486908248422356,0.08486908248422356,1.1873447329123408,-0.34,4.29,-10172.0,-678.0,-0.0,15,9,6,60.0,19.0,1,3,11,2020/03/02,971.0,1298.0,2019/12/02,1211.0,1509.0,2019/06/02,1044.0,1301.0,2018/06/02,1192.0,1244.0
