,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,821800,740600,2157,587,1400,529,SL_MAX_DAY_OVER,2017-11-08,2524,1540.0000000000002,2.58,SELL,2017-10-18,21,839000,722000,6728,8390,100,7220,2.17,31736.0,2.18,35800
1,822900,793000,2157,633,1300,610,STOP_LOSS_OVER_RATIO,2017-12-15,1792,1540.0000000000002,3.8,SELL,2017-12-01,14,718000,764000,6728,7180,100,7640,-5.09,-79232.0,2.98,-75900
2,718300,721600,2157,653,1100,656,SL_MAX_DAY_OVER,2018-01-09,2636,1540.0000000000002,1.96,SELL,2017-12-18,22,789000,736000,6728,7890,100,7360,3.58,52124.0,2.54,56300
3,693000,748000,2157,693,1000,748,STOP_PROFIT_OVER_RATIO,2018-01-19,366,1540.0000000000002,1.77,SELL,2018-01-16,3,783000,735000,6728,7830,100,7350,6.82,101094.0,2.37,103000
4,725400,709200,2157,806,900,788,STOP_LOSS_OVER_RATIO,2018-02-20,2114,1540.0000000000002,1.5,SELL,2018-02-02,18,634000,720000,6728,6340,100,7200,-7.41,-105854.0,2.39,-102200
5,751200,668000,2157,939,800,835,STOP_LOSS_OVER_RATIO,2018-03-09,1706,1540.0000000000002,6.2,SELL,2018-02-21,16,630000,629000,6728,6300,100,6290,-6.59,-85446.0,2.69,-82200
6,1000800,988800,2157,834,1200,824,STOP_LOSS_OVER_RATIO,2018-06-19,3090,1540.0000000000002,0.12,SELL,2018-05-31,19,896000,990000,6728,4480,200,4950,-5.59,-110630.0,2.05,-106000
7,737000,837000,2157,737,1000,837,STOP_PROFIT_OVER_RATIO,2018-07-11,2924,1540.0000000000002,2.33,SELL,2018-06-20,21,858000,857000,6728,4290,200,4285,5.7,96536.0,2.79,101000
8,686000,737000,2157,686,1000,737,SL_MAX_DAY_OVER,2018-11-05,2606,1540.0000000000002,4.66,SELL,2018-10-15,21,790000,773000,6728,3950,200,3865,4.23,63854.0,2.42,68000
9,915600,905800,2157,654,1400,647,STOP_PROFIT_OVER_RATIO,2019-01-09,2055,1540.0000000000002,2.91,SELL,2018-12-26,14,999000,880200,6728,3330,300,2934,5.9,105405.0,2.15,109000
10,988800,903600,2157,824,1200,753,SL_MAX_DAY_OVER,2019-03-08,3126,1540.0000000000002,0.43,SELL,2019-02-15,21,945000,907500,6728,3150,300,3025,-2.89,-52366.0,2.47,-47700
11,914100,893200,2157,831,1100,812,SL_MAX_DAY_OVER,2019-04-01,3134,1540.0000000000002,3.18,SELL,2019-03-11,21,979500,922500,6728,3265,300,3075,1.73,31426.0,2.08,36100
12,805200,800800,2157,732,1100,728,STOP_LOSS_OVER_RATIO,2019-07-25,391,1540.0000000000002,2.14,BUY,2019-07-22,3,898000,784000,6728,4490,200,3920,-7.04,-111531.0,-2.3,-109600
13,934800,890400,2157,779,1200,742,STOP_PROFIT_OVER_RATIO,2019-08-08,1913,1540.0000000000002,1.07,BUY,2019-07-26,13,817000,900000,6728,4085,200,4500,6.92,123947.0,-3.29,127400
14,755000,877000,2157,755,1000,877,STOP_PROFIT_OVER_RATIO,2020-02-05,1127,1540.0000000000002,4.78,SELL,2020-01-28,8,836000,837000,6728,4180,200,4185,6.9,118333.0,2.07,121000
15,888000,1080000,2157,370,2400,450,STOP_LOSS_OVER_RATIO,2020-03-30,3757,1540.0000000000002,1.53,BUY,2020-03-09,21,1026800,1096800,6728,2567,400,2742,-5.85,-127297.0,-2.06,-122000
16,1233000,1068000,2157,411,3000,356,STOP_PROFIT_OVER_RATIO,2020-04-15,2628,1540.0000000000002,0.38,BUY,2020-03-31,15,1088000,1064000,6728,2720,400,2660,6.42,136832.0,-2.28,141000
