,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,992700.0,1019700.0,8031,1654.5,600,1699.5,SL_MAX_DAY_OVER,2017-11-28,3491,1540.0000000000002,1.63,BUY,2017-11-07,21,960119.9999999999,1003100.0,8601,685.8,1400,716.5,0.54,10949.000000000065,-2.1,15980.000000000065
1,952750.0,933750.0,8031,1905.5,500,1867.5,SL_MAX_DAY_OVER,2018-03-02,3198,1540.0000000000002,1.57,SELL,2018-02-09,21,910000.0,919100.0,8601,700.0,1300,707.0,-1.77,-32838.0,2.11,-28100.0
2,894250.0,950000.0,8031,1788.5,500,1900.0,SL_MAX_DAY_OVER,2018-03-26,3307,1540.0000000000002,1.68,SELL,2018-03-05,21,935760.0,966000.0,8601,668.4,1400,690.0,1.08,20662.999999999967,2.11,25509.999999999967
3,974750.0,948250.0,8031,1949.5,500,1896.5,SL_MAX_DAY_OVER,2018-05-11,3253,1540.0000000000002,1.23,SELL,2018-04-20,21,916300.0,936600.0,8601,654.5,1400,669.0,-2.74,-51593.0,2.02,-46800.0
4,913250.0,992500.0,8031,1826.5,500,1985.0,SL_MAX_DAY_OVER,2018-06-27,3385,1540.0000000000002,2.4,SELL,2018-06-06,21,958350.0,968699.9999999999,8601,638.9,1500,645.8,3.26,63975.00000000003,2.05,68900.00000000003
5,1099800.0,1066800.0,8031,1833.0,600,1778.0,SL_MAX_DAY_OVER,2018-09-12,3648,1540.0000000000002,1.88,BUY,2018-08-22,21,1058720.0,1046720.0000000001,8601,661.7,1600,654.2,0.75,15812.0,-2.18,21000.0
6,955750.0,1037250.0,8031,1911.5,500,2074.5,SL_MAX_DAY_OVER,2018-10-24,3569,1540.0000000000002,0.65,SELL,2018-10-03,21,1003500.0,1030500.0,8601,669.0,1500,687.0,2.39,49391.0,2.58,54500.0
7,1063800.0,990300.0,8031,1773.0,600,1650.5,SL_MAX_DAY_OVER,2019-01-25,3407,1540.0000000000002,0.65,SELL,2019-01-04,21,1064340.0,983880.0,8601,591.3,1800,546.6,0.1,2012.9999999998836,2.02,6959.999999999884
8,1075800.0,1062000.0,8031,1793.0,600,1770.0,SL_MAX_DAY_OVER,2019-02-21,3630,1540.0000000000002,1.98,SELL,2019-01-31,21,1098390.0,1041010.0,8601,578.1,1900,547.9,1.83,38410.00000000009,3.98,43580.00000000009
9,1080000.0,1067100.0,8031,1800.0,600,1778.5,SL_MAX_DAY_OVER,2019-05-07,3877,1540.0000000000002,0.91,SELL,2019-04-15,22,1017200.0,1076800.0,8601,508.6,2000,538.4,-3.63,-77916.99999999991,2.12,-72499.99999999991
10,990600.0,1029300.0,8031,1651.0,600,1715.5,SL_MAX_DAY_OVER,2019-05-29,3517,1540.0000000000002,2.05,SELL,2019-05-08,21,956400.0,1008200.0,8601,478.2,2000,504.1,-0.89,-18157.000000000065,2.13,-13100.000000000065
11,1070400.0,1000200.0,8031,1784.0,600,1667.0,SL_MAX_DAY_OVER,2019-06-25,3488,1540.0000000000002,2.02,SELL,2019-06-04,21,1048520.0,1020360.0,8601,476.6,2200,463.8,-2.33,-47067.99999999997,2.24,-42039.99999999997
12,1092000.0,1040400.0,8031,1820.0,600,1734.0,SL_MAX_DAY_OVER,2019-10-24,3563,1540.0000000000002,1.58,BUY,2019-10-03,21,1054200.0,1023960.0,8601,502.0,2100,487.6,0.79,16257.000000000047,-2.04,21360.000000000047
13,990000.0,973250.0,8031,1980.0,500,1946.5,SL_MAX_DAY_OVER,2019-12-23,3312,1540.0000000000002,2.81,BUY,2019-12-02,21,953359.9999999999,945880.0,8601,560.8,1700,556.4,0.23,4418.000000000038,-2.22,9270.000000000038
14,959500.0,985500.0,8031,1919.0,500,1971.0,SL_MAX_DAY_OVER,2020-02-04,3392,1540.0000000000002,0.57,BUY,2020-01-14,21,922759.9999999999,979880.0,8601,542.8,1700,576.4,1.33,26188.000000000036,-2.16,31120.000000000036
15,910500.0,1083900.0,8031,1517.5,600,1806.5,STOP_PROFIT_OVER_RATIO,2020-03-23,4298,1540.0000000000002,1.01,SELL,2020-02-28,24,1040640.0,1094880.0,8601,433.6,2400,456.2,5.2,113322.00000000009,3.36,119160.00000000009
