,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,870000,885000,6436,2900,300,2950,SL_MAX_DAY_OVER,2017-12-08,2424,1540.0000000000002,8.27,SELL,2017-11-22,16,969000,958200,6703,1615,600,1597,1.18,21836.0,3.45,25800
1,912000,888900,6436,3040,300,2963,STOP_LOSS_OVER_RATIO,2017-12-27,2444,1540.0000000000002,9.08,SELL,2017-12-11,16,945000,969600,6703,1575,600,1616,-2.78,-51684.0,2.05,-47700
2,883500,948000,6436,2945,300,3160,SL_MAX_DAY_OVER,2018-02-05,2862,1540.0000000000002,4.05,SELL,2018-01-18,18,925800,986400,6703,1543,600,1644,-0.03,-502.0,2.02,3900
3,870000,875700,6436,2900,300,2919,SL_MAX_DAY_OVER,2018-03-08,2296,1540.0000000000002,0.65,SELL,2018-02-20,16,867000,870000,6703,1445,600,1450,-0.07,-1136.0000000000002,2.42,2700
4,1135200,1064800,6436,2838,400,2662,STOP_PROFIT_OVER_RATIO,2018-05-10,2418,1540.0000000000002,2.64,BUY,2018-04-26,14,980000,1036700,6703,1400,700,1481,5.86,123142.0,-2.53,127100
5,1104000,1094800,6436,2760,400,2737,SL_MAX_DAY_OVER,2018-06-14,2950,1540.0000000000002,4.9,SELL,2018-05-29,16,1143000,1148400,6703,1270,900,1276,-0.85,-19090.0,2.2,-14600
6,894000,919600,6436,2235,400,2299,STOP_LOSS_OVER_RATIO,2018-08-07,1072,1540.0000000000002,2.61,BUY,2018-07-31,7,974400,943600,6703,1392,700,1348,-3.17,-59012.0,-3.33,-56400
7,893600,896400,6436,2234,400,2241,STOP_PROFIT_OVER_RATIO,2018-08-23,2145,1540.0000000000002,5.89,BUY,2018-08-08,15,799800,843600,6703,1333,600,1406,2.14,37315.0,-2.74,41000
8,1160500,1043500,6436,2321,500,2087,STOP_PROFIT_OVER_RATIO,2018-10-31,874,1540.0000000000002,3.71,BUY,2018-10-26,5,1109500,1082200,6703,1585,700,1546,4.11,87286.0,-2.02,89700
9,855200,948000,6436,2138,400,2370,STOP_PROFIT_OVER_RATIO,2018-12-21,620,1540.0000000000002,1.13,SELL,2018-12-17,4,908600,937300,6703,1298,700,1339,3.29,61940.0,2.1,64100
10,953200,921200,6436,2383,400,2303,SL_MAX_DAY_OVER,2019-02-21,2373,1540.0000000000002,4.1,SELL,2019-02-05,16,910000,883400,6703,1300,700,1262,-0.52,-9313.0,2.83,-5400
11,1052400,1048400,6436,2631,400,2621,SL_MAX_DAY_OVER,2019-04-15,2940,1540.0000000000002,0.72,SELL,2019-03-29,17,1066400,1056000,6703,1333,800,1320,0.09,1920.0,2.11,6400
12,845100,870000,6436,2817,300,2900,SL_MAX_DAY_OVER,2019-05-13,2490,1540.0000000000002,4.84,SELL,2019-04-26,17,921200,912100,6703,1316,700,1303,1.68,29970.0,2.84,34000
13,859800,859200,6436,2866,300,2864,STOP_PROFIT_OVER_RATIO,2019-05-23,1021,1540.0000000000002,6.48,SELL,2019-05-16,7,973000,914900,6703,1390,700,1307,3.1,54939.0,2.07,57500
14,973500,933000,6436,3245,300,3110,STOP_PROFIT_OVER_RATIO,2019-11-21,1982,1540.0000000000002,1.16,BUY,2019-11-08,13,901800,922200,6703,1503,600,1537,3.09,57378.0,-2.49,60900
15,915000,973500,6436,3050,300,3245,STOP_PROFIT_OVER_RATIO,2020-02-05,1280,1540.0000000000002,0.05,SELL,2020-01-28,8,968100,973000,6703,1383,700,1390,2.61,50780.0,2.18,53600
16,944800,999600,6436,2362,400,2499,SL_MAX_DAY_OVER,2020-04-10,2615,1540.0000000000002,1.05,SELL,2020-03-25,16,902700,989100,6703,1003,900,1099,-1.8,-35755.0,2.63,-31600
17,872000,961600,6436,2180,400,2404,STOP_PROFIT_OVER_RATIO,2020-04-28,1759,1540.0000000000002,2.33,SELL,2020-04-17,11,1005000,984000,6703,1005,1000,984,5.52,107301.0,2.27,110600
