,AXIS_CLOSE_MOUNT,AXIS_OPEN_MOUNT,AXIS_SYMBOL,AXIS_SYMB_CLOSE_PRI,AXIS_SYMB_LOT,AXIS_SYMB_OPEN_PRI,CLOSE_CAT,CLOSE_DATE,COMMISSION_CREDIT,COMMISSION_N,LOT_DIFF(%),OPEN_CAT,OPEN_DATE,OPEN_DAYS,PAIR_CLOSE_MOUNT,PAIR_OPEN_MOUNT,PAIR_SYMBOL,PAIR_SYMB_CLOSE_PRI,PAIR_SYMB_LOT,PAIR_SYMB_OPEN_PRI,PL,PROFIT,SIGMA,TOTAL
0,904800,896000,1662,2262,400,2240,SL_MAX_DAY_OVER,2017-06-14,2288,1540.0000000000002,5.85,BUY,2017-05-29,16,840000,843600,3401,2100,400,2109,0.49,8572.0,-2.15,12400
1,854400,860000,1662,2136,400,2150,SL_MAX_DAY_OVER,2017-09-14,2299,1540.0000000000002,3.15,BUY,2017-08-29,16,894400,888000,3401,2236,400,2220,-0.91,-15839.0,-2.18,-12000
2,1126800,1060000,1662,2817,400,2650,STOP_LOSS_OVER_RATIO,2017-12-15,1661,1540.0000000000002,9.4,SELL,2017-12-05,10,969200,960400,3401,2423,400,2401,-3.03,-61201.0,2.22,-58000
3,981000,945000,1662,3270,300,3150,STOP_LOSS_OVER_RATIO,2018-01-26,2592,1540.0000000000002,8.57,SELL,2018-01-10,16,996400,1026000,3401,2491,400,2565,-3.54,-69732.0,2.32,-65600
4,760500,970500,1662,2535,300,3235,STOP_PROFIT_OVER_RATIO,2018-02-14,2416,1540.0000000000002,1.89,SELL,2018-01-30,15,854000,988800,3401,2135,400,2472,3.64,71244.0,2.19,75200
5,1160000,1068000,1662,2900,400,2670,STOP_LOSS_OVER_RATIO,2018-05-02,2376,1540.0000000000002,6.69,SELL,2018-04-18,14,1035000,996500,3401,2070,500,1993,-2.78,-57416.0,2.06,-53500
6,834300,855300,1662,2781,300,2851,STOP_PROFIT_OVER_RATIO,2018-05-11,414,1540.0000000000002,3.66,SELL,2018-05-08,3,856400,824000,3401,2141,400,2060,3.06,51446.0,2.13,53400
7,839700,921000,1662,2799,300,3070,STOP_PROFIT_OVER_RATIO,2018-05-28,1913,1540.0000000000002,5.62,SELL,2018-05-15,13,862400,869200,3401,2156,400,2173,3.97,71047.0,2.27,74500
8,948000,1005600,1662,2370,400,2514,STOP_LOSS_OVER_RATIO,2018-08-21,1889,1540.0000000000002,7.8,BUY,2018-08-10,11,1076500,1084000,3401,2153,500,2168,-2.56,-53529.0,-2.83,-50100
9,914400,942400,1662,2286,400,2356,SL_MAX_DAY_OVER,2018-09-07,2384,1540.0000000000002,7.6,BUY,2018-08-22,16,854000,870800,3401,2135,400,2177,-0.83,-15124.0,-2.53,-11200
10,996000,1002500,1662,1992,500,2005,SL_MAX_DAY_OVER,2019-01-15,3194,1540.0000000000002,4.02,BUY,2018-12-27,19,1088400,1042800,3401,1814,600,1738,-2.78,-56834.0,-2.03,-52100
11,1049500,1015000,1662,2099,500,2030,STOP_PROFIT_OVER_RATIO,2019-02-05,962,1540.0000000000002,7.73,BUY,2019-01-30,6,916500,936500,3401,1833,500,1873,2.66,51998.0,-2.15,54500
12,967600,974800,1662,2419,400,2437,STOP_PROFIT_OVER_RATIO,2019-04-08,1092,1540.0000000000002,5.21,SELL,2019-04-01,7,967500,924000,3401,1935,500,1848,2.53,48068.0,2.16,50700
13,988000,997200,1662,2470,400,2493,STOP_PROFIT_OVER_RATIO,2019-07-04,2202,1540.0000000000002,6.68,SELL,2019-06-21,13,1119000,1063800,3401,1865,600,1773,2.94,60658.0,2.22,64400
14,979200,908400,1662,2448,400,2271,STOP_PROFIT_OVER_RATIO,2019-08-14,1363,1540.0000000000002,2.82,BUY,2019-08-05,9,939000,934000,3401,1878,500,1868,3.41,62897.0,-2.14,65800
15,1014800,1029200,1662,2537,400,2573,SL_MAX_DAY_OVER,2019-09-04,2823,1540.0000000000002,8.55,SELL,2019-08-19,16,1148400,1117200,3401,1914,600,1862,1.92,41237.0,2.09,45600
16,843600,864300,1662,2812,300,2881,STOP_PROFIT_OVER_RATIO,2019-09-26,1110,1540.0000000000002,4.66,SELL,2019-09-18,8,857600,824000,3401,2144,400,2060,3.06,51650.0,2.01,54300
17,906000,900000,1662,3020,300,3000,SL_MAX_DAY_OVER,2019-12-26,2289,1540.0000000000002,6.58,SELL,2019-12-10,16,818000,840800,3401,2045,400,2102,-1.87,-32629.0,2.04,-28800
18,903000,927000,1662,3010,300,3090,STOP_PROFIT_OVER_RATIO,2020-01-21,2230,1540.0000000000002,9.06,SELL,2020-01-07,14,1041500,1011000,3401,2083,500,2022,2.62,50730.0,2.2,54500
