,AXIS_SYMBOL,PAIR_SYMBOL,OPEN_DATE,SIGMA,OPEN_CAT,AXIS_SYMB_OPEN_PRI,AXIS_SYMB_LOT,AXIS_OPEN_MOUNT,PAIR_SYMB_OPEN_PRI,PAIR_SYMB_LOT,PAIR_OPEN_MOUNT,LOT_DIFF(%),CLOSE_DATE,OPEN_DAYS,CLOSE_CAT,AXIS_SYMB_CLOSE_PRI,PAIR_SYMB_CLOSE_PRI,AXIS_CLOSE_MOUNT,PAIR_CLOSE_MOUNT,TOTAL,COMMISSION_N,COMMISSION_CREDIT,PROFIT,PL
0,8316,9810,2017-03-01,-2.11,BUY,4408,200,881600,4855,200,971000,9.21,2017-03-17,16,SL_MAX_DAY_OVER,4311,4760,862200,952000,-400,1540.0000000000002,2436,-4376.0,-0.24
1,8316,9810,2018-10-22,2.39,SELL,4413,200,882600,4885,200,977000,9.66,2018-11-06,15,STOP_PROFIT_OVER_RATIO,4393,5180,878600,1036000,63000,1540.0000000000002,2293,59167.0,3.18
2,8316,9810,2019-05-14,2.59,SELL,3750,200,750000,4110,200,822000,8.76,2019-05-30,16,SL_MAX_DAY_OVER,3806,4185,761200,837000,3800,1540.0000000000002,2067,193.0,0.01
