,AXIS_SYMBOL,PAIR_SYMBOL,OPEN_DATE,SIGMA,OPEN_CAT,AXIS_SYMB_OPEN_PRI,AXIS_SYMB_LOT,AXIS_OPEN_MOUNT,PAIR_SYMB_OPEN_PRI,PAIR_SYMB_LOT,PAIR_OPEN_MOUNT,LOT_DIFF(%),CLOSE_DATE,OPEN_DAYS,CLOSE_CAT,AXIS_SYMB_CLOSE_PRI,PAIR_SYMB_CLOSE_PRI,AXIS_CLOSE_MOUNT,PAIR_CLOSE_MOUNT,TOTAL,COMMISSION_N,COMMISSION_CREDIT,PROFIT,PL
0,6301,8316,2017-03-07,2.07,SELL,2828.0,300,848400.0,4359,200,871800,2.68,2017-03-17,10,STOP_LOSS_OVER_RATIO,2997.5,4311,899250.0,862200,-60450.0,1540.0000000000002,1414,-63404.0,-3.69
1,6301,8316,2017-03-21,2.9,SELL,2985.0,300,895500.0,4288,200,857600,4.42,2017-04-07,17,STOP_LOSS_OVER_RATIO,2881.0,3908,864300.0,781600,-44800.0,1540.0000000000002,2450,-48790.0,-2.78
2,6301,8316,2017-04-10,2.03,SELL,2856.5,300,856950.0,3929,200,785800,9.05,2017-04-21,11,STOP_PROFIT_OVER_RATIO,2715.0,4000,814500.0,800000,56650.0,1540.0000000000002,1485,53625.0,3.26
3,6301,8316,2017-08-30,2.38,SELL,2938.0,300,881400.0,4047,200,809400,8.9,2017-09-08,9,STOP_LOSS_OVER_RATIO,3142.0,4011,942600.0,802200,-68400.0,1540.0000000000002,1251,-71191.0,-4.21
4,6301,8316,2018-06-18,-2.4,BUY,3300.0,300,990000.0,4514,200,902800,9.66,2018-07-04,16,SL_MAX_DAY_OVER,3130.0,4212,939000.0,842400,9400.0,1540.0000000000002,2489,5371.0,0.28
5,6301,8316,2018-10-24,-2.6,BUY,2880.0,300,864000.0,4393,200,878600,1.66,2018-11-05,12,STOP_PROFIT_OVER_RATIO,3079.0,4390,923700.0,878000,60300.0,1540.0000000000002,1719,57041.0,3.27
6,6301,8316,2019-01-07,-2.01,BUY,2409.0,300,722700.0,3760,200,752000,3.9,2019-01-15,8,STOP_PROFIT_OVER_RATIO,2578.0,3838,773400.0,767600,35100.0,1540.0000000000002,970,32590.0,2.21
7,6301,8316,2019-05-08,-2.83,BUY,2500.0,300,750000.0,3952,200,790400,5.11,2019-05-24,16,SL_MAX_DAY_OVER,2364.5,3782,709350.0,756400,-6650.0,1540.0000000000002,2026,-10216.0,-0.66
