,SYM_A,SYM_B,CORR_3M,CORR_1Y
0,4118,4401,0.9943195434353134,0.9311564903185799
1,3861,5411,0.9882975147384645,0.9487649992122027
2,5201,5214,0.9882585916201553,0.9381038166019804
3,6471,6472,0.987934648406837,0.9601265644245253
4,5401,5411,0.9864129648267445,0.9588088511883506
5,7189,8377,0.98479461864352,0.9630383249116617
6,5802,7211,0.9847349918063514,0.9411684239979433
7,3861,5401,0.98351245749434,0.932339236171713
8,5411,6586,0.9820570330136629,0.9305778890527366
9,4902,5401,0.9809118526455027,0.9064852026742567
10,8309,8341,0.9807360270475963,0.9200548586098777
11,7167,9810,0.9798573435139694,0.9231173869675967
12,5802,8309,0.979827658167409,0.909162928285642
13,4208,6473,0.9786701481668166,0.9249559593636278
14,6752,8242,0.9781118196274431,0.9049577547062534
15,7186,8309,0.978039992703997,0.9554953493707443
16,3407,6305,0.9776931262423001,0.9069569209188874
17,7211,7259,0.9756716520344054,0.9243118999085711
18,5411,7731,0.9755671681199096,0.9178545396365435
19,7167,8242,0.9755206333612421,0.9056301103387003
20,6473,7259,0.9753005638902921,0.9212718472957822
21,3099,8242,0.9751129255121467,0.9753205659225594
22,5401,6586,0.9748199982478348,0.9098514353770828
23,8309,8359,0.9745816820214063,0.9323253230906031
24,4208,5803,0.9741810871165231,0.9233849159312958
25,6473,7762,0.9739815296174549,0.9172734580314992
26,6301,6305,0.9735909174407811,0.9365571782001832
27,4182,4208,0.9733335169032523,0.9452683734966814
28,5802,8359,0.9732475455900994,0.9027240565019192
29,4182,5803,0.9731817414202527,0.9043210965136497
30,6995,8002,0.9723647674211472,0.9411999334312926
31,5201,7012,0.9720618090996169,0.9565474951967099
32,5020,5021,0.9716129738738276,0.9424804371065437
33,5214,5411,0.9714748127221878,0.9200402764832042
34,2768,5802,0.9713347262496705,0.9020613410783286
35,3407,5393,0.9710964261774574,0.9017104488962296
36,6586,8377,0.9708693736043167,0.9283966595667632
37,4208,6371,0.9706291118264241,0.956438049195071
38,6371,7278,0.9705666275737366,0.9553339862938369
39,6752,7167,0.9704845066548782,0.9663944278408959
40,7731,8377,0.9704262294428219,0.9184491576735704
41,4182,5802,0.9703183067824379,0.9368626418471703
42,3591,8359,0.9701027544937291,0.9009821680106561
43,5802,7259,0.9698479242603463,0.9613453065797655
44,8306,8411,0.9697980298369356,0.9607683264488938
45,4202,8242,0.9697065253456753,0.9014702990760453
46,6752,7278,0.9694573518136603,0.9698677709501943
47,6752,7259,0.9694263929117808,0.9090480308100017
48,7278,7846,0.9693032002032749,0.9426372923445304
49,6371,6473,0.9692516582790357,0.9360603937075778
50,5411,7201,0.9690849230923917,0.9557668699114713
51,5214,7261,0.968914290003276,0.9119795554743658
52,5406,7731,0.9688712141372491,0.9087584689829373
53,3861,5214,0.9687236606261693,0.9114391975836376
54,7189,9810,0.9687168370476166,0.9355956220539057
55,3861,5406,0.9685324996060948,0.9258018068733374
56,8316,8795,0.9683885392384152,0.9081814184714135
57,6305,6473,0.9683788373632531,0.9070391621051562
58,5802,5803,0.9683766587726271,0.9625057650962504
59,7167,9505,0.9680049378167084,0.9334960932113024
60,5401,9404,0.9676904231159577,0.9512667247665619
61,5401,7751,0.9676213426443635,0.9082046028538774
62,3099,7211,0.9672017133036809,0.9533902375206984
63,2768,7211,0.967079419676626,0.9023462948989209
64,3861,7751,0.9670567309807596,0.9202253801713604
65,7189,7327,0.9670161488453032,0.9309794198326353
66,5020,7167,0.9667186452195748,0.9609553347596268
67,7167,7278,0.9665161913041929,0.9491449544961235
68,1963,5393,0.9661432064221142,0.9240502472897011
69,6473,7012,0.9657382942570087,0.9065313391608153
70,5991,7202,0.9655825825842521,0.9469524046134137
71,4581,7189,0.9653865365136473,0.9669078592545819
72,5020,8316,0.9653169701175676,0.9173982087191666
73,5802,6301,0.965201946969678,0.9009652425499189
74,7167,7846,0.9650606159238807,0.946378145989034
75,5901,6178,0.9648535255255691,0.9254745071080599
76,5020,7846,0.9647092558281537,0.9178672885820119
77,4401,5401,0.9646892273717194,0.9461930856612678
78,5406,5411,0.9646728219064368,0.9770388166266532
79,4634,6995,0.9646625519338087,0.9336847348381225
80,5019,8002,0.9645919995001236,0.9595755431483715
81,5214,7012,0.9643957798202925,0.9561709974036745
82,4208,7278,0.9643317179510168,0.9136210241575936
83,7182,8242,0.9638864561408508,0.9251485717924378
84,5401,7261,0.9638200915490263,0.9031376997885717
85,5802,6472,0.963584752287018,0.9075692111538401
86,4182,6473,0.9635271035388433,0.9006624443599309
87,4061,8377,0.9632421713140115,0.9191016048689432
88,6305,8012,0.9632315977062986,0.9018303501571064
89,5401,5406,0.9632281638047528,0.966932541064556
90,4581,8377,0.9630280334015048,0.918792852185198
91,8242,9810,0.9629970745821252,0.9118735777867262
92,4061,7167,0.9629817952457832,0.9480815236541118
93,7211,8242,0.9629102554234242,0.9501267333840856
94,5411,8377,0.9628116464941359,0.9120298666818047
95,4182,6472,0.9627813746998962,0.9539416666053642
96,5803,6371,0.9627221147117409,0.9042309119073852
97,7189,9505,0.961946433858117,0.9370141497012723
98,4043,6302,0.9617913683521462,0.9013793244335507
99,4114,5201,0.9613934041742265,0.9035851801903697
100,6674,8377,0.9613728269299872,0.9254564572613612
101,5802,7267,0.9612425733350813,0.9476165145436735
102,5803,7211,0.9609923543040985,0.9253115080250557
103,6301,7167,0.9608251767287395,0.9151587653171035
104,1963,5021,0.9608104358883854,0.9410103751497348
105,4202,7189,0.9608074597826952,0.9370774082505327
106,3861,5201,0.9605489138695502,0.9106836176981745
107,8359,8385,0.9604404318407518,0.9406877663259647
108,7186,8341,0.9604195868641288,0.9469817771332121
109,6471,6473,0.9599509249531872,0.965998644282842
