,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
2,5201,ＡＧＣ,ガラス・土石製品,5214,日本電気硝子,ガラス・土石製品,0.9882585916201552,0.9381038166019804,3405.0,3380.0,2415.0,2393.0,2.4690964501762998,2.4690964501762998,3.25,200,300,6.2,102655.0,14665.0,0.82,7,3,4,42.86
575,3099,三越伊勢丹ホールディングス,小売業,7201,日産自動車,輸送用機器,0.9168203159936889,0.9280817793837544,882.0,866.0,693.3,685.9,2.454752628410659,2.454752628410659,6.35,1100,1400,0.8,139333.0,9952.0,0.52,14,8,6,57.14
662,3861,王子ホールディングス,パルプ・紙,6305,日立建機,機械,0.9086628002470372,0.9166931526437264,520.0,513.0,2610.0,2631.0,-2.442517521402588,2.442517521402588,-9.28,1500,300,2.51,228533.0,10388.0,0.6,22,12,10,54.55
470,4202,ダイセル,化学,7201,日産自動車,輸送用機器,0.926229835661958,0.96028156401313,909.0,912.0,693.3,685.9,2.42944535413742,2.42944535413742,5.69,1000,1300,2.23,453018.0,26648.0,1.43,17,12,5,70.59
613,5020,ＪＸＴＧホールディングス,石油・石炭製品,7731,ニコン,精密機器,0.9141438789610556,0.9259100084650465,499.5,500.0,1360.0,1359.0,2.415621036737055,2.415621036737055,7.1,1900,700,0.14,188038.0,12536.0,0.66,15,10,5,66.67
192,1983,東芝プラントシステム,建設業,2292,Ｓ　Ｆｏｏｄｓ,食料品,0.9506502139155104,0.9103375600527248,1810.0,1802.0,3120.0,3025.0,2.4116186133936908,2.4116186133936908,6.42,500,300,0.72,81277.0,4781.0,0.24,17,8,9,47.06
699,7327,第四北越フィナンシャルグループ,銀行業,7731,ニコン,精密機器,0.9057109837862024,0.9153640819110156,2761.0,2737.0,1360.0,1359.0,2.4022926530050106,2.4022926530050106,7.06,300,600,0.69,77030.0,38515.0,2.12,2,2,0,100.0
552,7182,ゆうちょ銀行,銀行業,8385,伊予銀行,銀行業,0.9195457594249132,0.9423238979830691,1062.0,1057.0,584.0,573.0,-2.3971538758746425,2.3971538758746425,-5.93,900,1700,2.4,273327.0,17083.0,0.87,16,11,5,68.75
92,4061,デンカ,化学,7167,めぶきフィナンシャルグループ,銀行業,0.9629817952457832,0.9480815236541118,3005.0,2942.0,272.0,269.0,-2.3959357222918936,2.3959357222918936,-5.71,300,3300,0.58,22897.0,1090.0,0.04,21,10,11,47.62
725,1942,関電工,建設業,9412,スカパーＪＳＡＴホールディングス,情報・通信業,0.9029717343384218,0.9561749290741651,990.0,981.0,441.0,437.0,2.3585899723776897,2.3585899723776897,4.29,1000,2200,2.0,560789.0,31155.0,1.64,18,16,2,88.89
367,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,7189,西日本フィナンシャルホールディングス,銀行業,0.9350072423056032,0.9494268009288156,1327.0,1310.0,752.0,758.0,-2.3488498931817787,2.3488498931817787,-10.16,700,1200,0.81,610823.0,32149.0,1.85,19,16,3,84.21
577,6371,椿本チエイン,機械,8058,三菱商事,卸売業,0.9166778255029364,0.9121575092283224,3520.0,3460.0,2679.5,2673.0,2.343905469868564,2.343905469868564,5.63,200,300,15.88,-86752.0,-6673.0,-0.42,13,6,7,46.15
596,3861,王子ホールディングス,パルプ・紙,7012,川崎重工業,輸送用機器,0.9156870475937188,0.9000901585678793,520.0,513.0,2420.0,2419.0,-2.3054535418757607,2.3054535418757607,-10.32,1900,400,0.73,49274.0,2898.0,0.27,17,10,7,58.82
627,2292,Ｓ　Ｆｏｏｄｓ,食料品,8377,ほくほくフィナンシャルグループ,銀行業,0.91302656955203,0.942630950168912,3120.0,3025.0,1054.0,1053.0,-2.291457818302045,2.291457818302045,-9.67,300,900,4.43,379349.0,16493.0,0.87,23,14,9,60.87
387,6674,ジーエス・ユアサ　コーポレーション,電気機器,7189,西日本フィナンシャルホールディングス,銀行業,0.9338703674179236,0.9522463021818208,1883.0,1870.0,752.0,758.0,-2.2429112477819992,2.2429112477819992,-8.19,500,1200,2.72,-76427.0,-3821.0,-0.26,20,10,10,50.0
507,4061,デンカ,化学,6301,小松製作所,機械,0.9234460100729904,0.9236639737708412,3005.0,2942.0,2487.0,2491.0,-2.235337853275408,2.235337853275408,-5.65,300,400,12.89,37633.0,6272.0,0.25,6,3,3,50.0
167,4061,デンカ,化学,7327,第四北越フィナンシャルグループ,銀行業,0.9537479767472936,0.9245652360521032,3005.0,2942.0,2761.0,2737.0,-2.2351284546138954,2.2351284546138954,-4.56,300,300,6.97,50846.0,50846.0,3.88,1,1,0,100.0
289,3635,コーエーテクモホールディングス,情報・通信業,4612,日本ペイントホールディングス,化学,0.9424304896546172,0.9231479218421876,2354.0,2342.0,5690.0,5700.0,-2.233783393370873,2.233783393370873,-9.55,200,100,17.82,35256.0,2518.0,0.16,14,8,6,57.14
617,1911,住友林業,建設業,3116,トヨタ紡織,輸送用機器,0.9137037339725156,0.9038127575641199,1471.0,1438.0,1500.0,1512.0,2.2318014595325684,2.2318014595325684,3.75,600,600,4.89,-118345.0,-7397.0,-0.43,16,8,8,50.0
751,7186,コンコルディア・フィナンシャルグループ,銀行業,8242,エイチ・ツー・オー　リテイリング,小売業,0.9003647515064835,0.9046758659048436,419.0,418.0,1228.0,1204.0,2.1970351322128496,2.1970351322128496,5.69,2300,800,0.19,108669.0,6037.0,0.3,18,10,8,55.56
636,7201,日産自動車,輸送用機器,7211,三菱自動車工業,輸送用機器,0.9121708481661164,0.9633207634846164,693.3,685.9,491.0,487.0,-2.184141178344984,2.184141178344984,-6.27,1400,2000,1.43,66564.0,4438.0,0.2,15,8,7,53.33
400,1820,西松建設,建設業,7731,ニコン,精密機器,0.9326516676515147,0.901978773990054,2003.0,2005.0,1360.0,1359.0,2.15793313248885,2.15793313248885,5.85,400,600,1.67,115531.0,6081.0,0.32,19,13,6,68.42
