,SYM_A,SYM_A_NAME,SYM_A_INDUSTRY,SYM_B,SYM_B_NAME,SYM_B_INDUSTRY,CORR_3M,CORR_1Y,OPEN_A,CLOSE_A,OPEN_B,CLOSE_B,SIGMA,ABS_SIGMA,DEV_RATE,AXIS_LOT_SIZE,PAIR_LOT_SIZE,LOT_SIZE_DIFF,total_profit,average_profit,average_pl,total_times,plus_times,minus_times,pl_times
695,8309,三井住友トラスト・ホールディングス,銀行業,9072,ニッコンホールディングス,陸運業,0.9060300328191752,0.9056609060758876,3930.0,3932.0,2543.0,2500.0,1.3281653598759082,1.3281653598759082,3.65,200,300,4.63,122631.0,7214.0,0.46,17,9,8,52.94
15,7186,コンコルディア・フィナンシャルグループ,銀行業,8309,三井住友トラスト・ホールディングス,銀行業,0.978039992703997,0.9554953493707444,419.0,418.0,3930.0,3932.0,1.3238580836571627,1.3238580836571627,2.14,1900,200,0.99,39830.0,2343.0,0.12,17,8,9,47.06
94,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,8377,ほくほくフィナンシャルグループ,銀行業,0.962811646494136,0.9120298666818047,1327.0,1310.0,1054.0,1053.0,-1.322277625352687,1.322277625352687,-5.32,700,900,3.35,-25843.0,-1124.0,-0.04,23,12,11,52.17
701,5110,住友ゴム工業,ゴム製品,5301,東海カーボン,ガラス・土石製品,0.9056963718483674,0.956106070413716,1312.0,1301.0,1099.0,1100.0,1.3172479570395168,1.3172479570395168,3.49,700,800,3.37,58750.0,3092.0,0.09,19,10,9,52.63
565,1333,マルハニチロ,水産・農林業,2914,日本たばこ産業,食料品,0.917810607318134,0.9449013362805144,2795.0,2771.0,2350.0,2363.5,-1.3138404961765735,1.3138404961765735,-6.66,300,400,13.73,50616.0,6327.0,0.53,8,5,3,62.5
489,4005,住友化学,化学,7251,ケーヒン,輸送用機器,0.924712754945091,0.9252440901164364,496.0,493.0,1580.0,1587.0,-1.3125795182893778,1.3125795182893778,-4.32,1900,600,1.63,-17465.0,-873.0,-0.06,20,10,10,50.0
300,7167,めぶきフィナンシャルグループ,銀行業,8586,日立キャピタル,その他金融業,0.9417583788151188,0.9133172151309282,272.0,269.0,2235.0,2222.0,1.3030708476898407,1.3030708476898407,4.03,3300,400,0.12,72719.0,4278.0,0.28,17,10,7,58.82
141,7211,三菱自動車工業,輸送用機器,8309,三井住友トラスト・ホールディングス,銀行業,0.9562568899068632,0.9143842039460064,491.0,487.0,3930.0,3932.0,-1.3020825178634687,1.3020825178634687,-2.93,1600,200,0.92,21888.0,1288.0,0.07,17,9,8,52.94
198,4061,デンカ,化学,7731,ニコン,精密機器,0.9499128138729256,0.9390367782562562,3005.0,2942.0,1360.0,1359.0,1.300282938463767,1.300282938463767,2.87,300,600,7.61,-147502.0,-8195.0,-0.54,18,8,10,44.44
648,7846,パイロットコーポレーション,その他製品,8341,七十七銀行,銀行業,0.9099819158145188,0.9493706130956736,4070.0,4020.0,1659.0,1618.0,-1.2969731845723884,1.2969731845723884,-4.54,200,500,0.62,-16824.0,-1294.0,-0.0,13,7,6,53.85
116,5803,フジクラ,非鉄金属,7202,いすゞ自動車,輸送用機器,0.9593715535587446,0.9014921357906917,411.0,415.0,1237.5,1226.0,1.292100351012814,1.292100351012814,6.06,2400,800,1.55,-156672.0,-10445.0,-0.51,15,6,9,40.0
645,4004,昭和電工,化学,6472,ＮＴＮ,機械,0.9107504306772892,0.9510539956574354,2882.0,2867.0,314.0,312.0,-1.2905977365308463,1.2905977365308463,-5.35,300,2800,1.57,-88731.0,-4225.0,-0.14,21,12,9,57.14
543,4061,デンカ,化学,8316,三井住友フィナンシャルグループ,銀行業,0.9205150755756932,0.9355837811681612,3005.0,2942.0,3748.0,3733.0,-1.290494506111243,1.290494506111243,-3.65,300,200,18.22,88562.0,14760.0,0.98,6,4,2,66.67
553,4581,大正製薬ホールディングス,医薬品,7846,パイロットコーポレーション,その他製品,0.9195063635183496,0.9335368183557676,8050.0,7890.0,4070.0,4020.0,-1.280757933889473,1.280757933889473,-3.32,100,200,1.9,112978.0,18830.0,0.99,6,4,2,66.67
323,4902,コニカミノルタ,電気機器,7261,マツダ,輸送用機器,0.9392773914222221,0.9134591025261898,771.0,767.0,972.3,963.2,-1.2770873559450335,1.2770873559450335,-10.38,1300,1000,3.52,-125148.0,-7362.0,-0.4,17,5,12,29.41
180,5802,住友電気工業,非鉄金属,7182,ゆうちょ銀行,銀行業,0.9522415433048464,0.9395520209932844,1390.0,1377.5,1062.0,1057.0,1.2713195365901502,1.2713195365901502,2.53,700,900,1.34,-10586.0,-623.0,-0.07,17,9,8,52.94
540,9101,日本郵船,海運業,9107,川崎汽船,海運業,0.9207222698613118,0.9005816894438868,1856.0,1842.0,1281.0,1254.0,1.2706256654997892,1.2706256654997892,6.34,500,700,4.69,165828.0,9755.0,0.51,17,10,7,58.82
383,5802,住友電気工業,非鉄金属,8385,伊予銀行,銀行業,0.9340521210500908,0.9218206249116214,1390.0,1377.5,584.0,573.0,-1.2665720632384254,1.2665720632384254,-3.23,700,1700,1.02,42133.0,3511.0,0.16,12,6,6,50.0
250,6752,パナソニック,電気機器,8750,第一生命ホールディングス,保険業,0.9456804007681112,0.9339686594214041,894.0,890.9,1633.5,1640.0,-1.2647899016757886,1.2647899016757886,-3.71,1100,600,0.41,-165233.0,-9720.0,-0.54,17,6,11,35.29
416,7167,めぶきフィナンシャルグループ,銀行業,8341,七十七銀行,銀行業,0.9307724308074742,0.9645209791817796,272.0,269.0,1659.0,1618.0,-1.2623084068409534,1.2623084068409534,-3.85,3600,600,0.25,-117266.0,-6515.0,-0.39,18,7,11,38.89
612,7186,コンコルディア・フィナンシャルグループ,銀行業,8273,イズミ,小売業,0.9143142754132758,0.9464971084861716,419.0,418.0,4405.0,4310.0,1.2594986870650624,1.2594986870650624,3.81,2100,200,1.83,299522.0,17619.0,1.24,17,11,6,64.71
130,6752,パナソニック,電気機器,9810,日鉄物産,卸売業,0.9580593905698674,0.9044494321472204,894.0,890.9,4285.0,4260.0,1.2590727325497215,1.2590727325497215,2.2,1000,200,4.57,124036.0,10336.0,0.73,12,8,4,66.67
672,2914,日本たばこ産業,食料品,7201,日産自動車,輸送用機器,0.907961303950218,0.9526631034823724,2350.0,2363.5,693.3,685.9,1.255559016209243,1.255559016209243,4.21,400,1400,1.57,-7509.0,-469.0,-0.03,16,8,8,50.0
335,7278,エクセディ,輸送用機器,7984,コクヨ,その他製品,0.9379097263195167,0.9309704547175144,2145.0,2119.0,1530.0,1519.0,-1.2544062728389158,1.2544062728389158,-4.48,400,600,7.53,400478.0,26699.0,1.56,15,12,3,80.0
704,4005,住友化学,化学,5803,フジクラ,非鉄金属,0.9053985627516892,0.9163218997115748,496.0,493.0,411.0,415.0,-1.2541703191150717,1.2541703191150717,-8.11,2000,2400,1.01,-365455.0,-21497.0,-1.09,17,5,12,29.41
506,5991,日本発條,金属製品,7259,アイシン精機,輸送用機器,0.9234963889639464,0.9405277342671688,837.0,834.0,3395.0,3415.0,1.2533274968257198,1.2533274968257198,3.98,800,200,2.31,141309.0,8832.0,0.48,16,8,8,50.0
457,6472,ＮＴＮ,機械,7186,コンコルディア・フィナンシャルグループ,銀行業,0.9275356590323184,0.91694164379772,314.0,312.0,419.0,418.0,-1.2441770116322812,1.2441770116322812,-3.45,3100,2300,0.6,64398.0,4293.0,0.23,15,8,7,53.33
530,3407,旭化成,化学,5019,出光興産,石油・石炭製品,0.9213142716243468,0.9149680593871868,1094.0,1069.0,3210.0,3175.0,-1.2370666428163706,1.2370666428163706,-4.83,900,300,1.01,-610548.0,-23483.0,-1.29,26,9,17,34.62
727,5020,ＪＸＴＧホールディングス,石油・石炭製品,8341,七十七銀行,銀行業,0.902956979265351,0.9620342475800436,499.5,500.0,1659.0,1618.0,-1.2360099701014469,1.2360099701014469,-4.97,1900,600,2.14,11747.0,587.0,0.11,20,10,10,50.0
202,5214,日本電気硝子,ガラス・土石製品,5401,日本製鉄,鉄鋼,0.9495988603823464,0.9417825673972304,2415.0,2393.0,1519.0,1525.5,1.2355352530386794,1.2355352530386794,3.72,400,600,4.38,-90836.0,-8258.0,-0.46,11,6,5,54.55
681,3099,三越伊勢丹ホールディングス,小売業,4581,大正製薬ホールディングス,医薬品,0.9070621688906289,0.96427524433711,882.0,866.0,8050.0,7890.0,1.2353072115573662,1.2353072115573662,3.12,900,100,1.22,149426.0,12452.0,0.82,12,8,4,66.67
702,4507,塩野義製薬,医薬品,7167,めぶきフィナンシャルグループ,銀行業,0.9056788254455838,0.9086051380587176,5943.0,5841.0,272.0,269.0,-1.2254620339160258,1.2254620339160258,-5.41,100,2200,1.32,187792.0,9884.0,0.83,19,13,6,68.42
227,7201,日産自動車,輸送用機器,9810,日鉄物産,卸売業,0.9477992512885532,0.9038180355320976,693.3,685.9,4285.0,4260.0,-1.2184786242737744,1.2184786242737744,-4.19,1200,200,3.39,70126.0,5009.0,0.13,14,8,6,57.14
673,2914,日本たばこ産業,食料品,5401,日本製鉄,鉄鋼,0.9078211991103528,0.9164423810521446,2350.0,2363.5,1519.0,1525.5,1.210648568293095,1.210648568293095,7.05,400,600,3.18,-29184.0,-2432.0,-0.12,12,6,6,50.0
650,7846,パイロットコーポレーション,その他製品,8750,第一生命ホールディングス,保険業,0.9096009672155384,0.9167555166204916,4070.0,4020.0,1633.5,1640.0,-1.2083556742473145,1.2083556742473145,-3.36,200,500,1.99,85781.0,5719.0,0.55,15,9,6,60.0
750,7189,西日本フィナンシャルホールディングス,銀行業,7259,アイシン精機,輸送用機器,0.9005278951254947,0.9140387897016046,752.0,758.0,3395.0,3415.0,1.2066209602347808,1.2066209602347808,3.93,900,200,0.12,382373.0,23898.0,1.79,16,13,3,81.25
562,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,6752,パナソニック,電気機器,0.9179887811394992,0.9411378463216502,1327.0,1310.0,894.0,890.9,-1.202003524760598,1.202003524760598,-8.68,700,1000,2.85,-204833.0,-14631.0,-0.75,14,4,10,28.57
555,7201,日産自動車,輸送用機器,7259,アイシン精機,輸送用機器,0.9192014891091708,0.9277967904006564,693.3,685.9,3395.0,3415.0,-1.1938298738443704,1.1938298738443704,-3.83,1000,200,0.42,204614.0,12788.0,0.94,16,11,5,68.75
536,1820,西松建設,建設業,5406,神戸製鋼所,鉄鋼,0.9208839262569878,0.9616527526566948,2003.0,2005.0,588.0,587.0,1.1935496398797474,1.1935496398797474,6.66,400,1400,2.47,270842.0,13542.0,0.67,20,13,7,65.0
373,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,7278,エクセディ,輸送用機器,0.9347095864358984,0.9584158649106416,1327.0,1310.0,2145.0,2119.0,-1.1839283645916951,1.1839283645916951,-6.44,600,400,7.27,-104218.0,-5485.0,-0.42,19,6,13,31.58
652,6472,ＮＴＮ,機械,7278,エクセディ,輸送用機器,0.909409693567992,0.9542305388696368,314.0,312.0,2145.0,2119.0,1.1796358509089446,1.1796358509089446,3.34,2700,400,0.61,297925.0,18620.0,1.1,16,11,5,68.75
676,5802,住友電気工業,非鉄金属,9003,相鉄ホールディングス,陸運業,0.9075242740295416,0.9240853711319388,1390.0,1377.5,2915.0,2869.0,1.1590970933824225,1.1590970933824225,4.03,600,300,3.97,103719.0,5762.0,0.36,18,11,7,61.11
464,4202,ダイセル,化学,8570,イオンフィナンシャルサービス,その他金融業,0.9270119812222704,0.9531028087489808,909.0,912.0,1700.0,1631.0,1.1588493563763491,1.1588493563763491,4.05,1100,600,2.51,265281.0,14738.0,0.77,18,12,6,66.67
211,5406,神戸製鋼所,鉄鋼,8377,ほくほくフィナンシャルグループ,銀行業,0.948998060352826,0.9097947230316172,588.0,587.0,1054.0,1053.0,-1.1584666668011394,1.1584666668011394,-5.75,1600,900,0.9,-97445.0,-4429.0,-0.26,22,11,11,50.0
680,7167,めぶきフィナンシャルグループ,銀行業,8385,伊予銀行,銀行業,0.907287141138065,0.9350838988308696,272.0,269.0,584.0,573.0,-1.152990718630188,1.152990718630188,-3.71,3600,1700,0.59,-69724.0,-4358.0,-0.23,16,7,9,43.75
415,7251,ケーヒン,輸送用機器,8002,丸紅,卸売業,0.930805352420516,0.9524318880922832,1580.0,1587.0,736.0,727.9,1.1471617017719729,1.1471617017719729,3.01,600,1300,0.62,142235.0,7902.0,0.45,18,11,7,61.11
237,4507,塩野義製薬,医薬品,9404,日本テレビホールディングス,情報・通信業,0.946999771541381,0.9174989884499736,5943.0,5841.0,1428.0,1400.0,1.147134452809188,1.147134452809188,4.44,100,400,4.13,24266.0,1517.0,0.06,16,9,7,56.25
606,7012,川崎重工業,輸送用機器,7751,キヤノン,電気機器,0.9148446962697144,0.9207909360172726,2420.0,2419.0,2893.5,2926.0,1.1424634682023296,1.1424634682023296,5.02,400,300,10.23,-27538.0,-2503.0,-0.25,11,4,7,36.36
447,6301,小松製作所,機械,7278,エクセディ,輸送用機器,0.9285608780584604,0.9038502404435246,2487.0,2491.0,2145.0,2119.0,1.1368456484666392,1.1368456484666392,2.84,400,500,6.33,318287.0,26524.0,1.34,12,8,4,66.67
16,3407,旭化成,化学,6305,日立建機,機械,0.9776931262423,0.9069569209188874,1094.0,1069.0,2610.0,2631.0,-1.1362208367842024,1.1362208367842024,-2.18,700,300,5.19,-7159.0,-447.0,-0.11,16,8,8,50.0
752,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,7762,シチズン時計,精密機器,0.9003060237661726,0.9077251967517111,1327.0,1310.0,528.0,532.0,-1.1345226188033288,1.1345226188033288,-7.32,700,1700,1.37,99316.0,4729.0,0.26,21,11,10,52.38
619,2914,日本たばこ産業,食料品,4507,塩野義製薬,医薬品,0.9135444514932418,0.9263636868571792,2350.0,2363.5,5943.0,5841.0,1.1329094541118014,1.1329094541118014,2.22,200,100,19.07,-63985.0,-10664.0,-0.77,6,3,3,50.0
371,4507,塩野義製薬,医薬品,7189,西日本フィナンシャルホールディングス,銀行業,0.9348441900887282,0.9388582013793008,5943.0,5841.0,752.0,758.0,-1.1284636395478014,1.1284636395478014,-5.99,100,800,3.82,-214674.0,-8587.0,-0.68,25,9,16,36.0
691,8308,りそなホールディングス,銀行業,8601,大和証券グループ本社,証券、商品先物取引業,0.9063290876794956,0.9660538202218664,470.1,468.9,499.7,489.7,1.1247420477302443,1.1247420477302443,2.41,2100,2000,0.54,316877.0,19805.0,1.02,16,12,4,75.0
537,2292,Ｓ　Ｆｏｏｄｓ,食料品,7181,かんぽ生命保険,保険業,0.920880119238112,0.930394052185588,3120.0,3025.0,1659.0,1649.0,-1.1246679569642717,1.1246679569642717,-4.76,300,600,9.02,278011.0,14632.0,0.9,19,12,7,63.16
398,4401,ＡＤＥＫＡ,化学,5214,日本電気硝子,ガラス・土石製品,0.9328730003865991,0.9223745777381216,1375.0,1350.0,2415.0,2393.0,-1.1243089962658313,1.1243089962658313,-4.02,700,400,1.27,70828.0,3728.0,0.19,19,12,7,63.16
689,4004,昭和電工,化学,6305,日立建機,機械,0.9063595842955264,0.9096411605860112,2882.0,2867.0,2610.0,2631.0,-1.124241293246258,1.124241293246258,-4.74,300,300,8.23,-92576.0,-5786.0,-0.34,16,5,11,31.25
314,5201,ＡＧＣ,ガラス・土石製品,6305,日立建機,機械,0.9398822152722422,0.9190490166750079,3405.0,3380.0,2610.0,2631.0,-1.1215458471735071,1.1215458471735071,-3.23,200,300,16.76,-5849.0,-532.0,0.07,11,6,5,54.55
151,7189,西日本フィナンシャルホールディングス,銀行業,7278,エクセディ,輸送用機器,0.9554564194624215,0.9441595429179817,752.0,758.0,2145.0,2119.0,1.1180295972865266,1.1180295972865266,3.38,1100,400,1.63,476442.0,25076.0,1.52,19,12,7,63.16
685,5406,神戸製鋼所,鉄鋼,6752,パナソニック,電気機器,0.9067057912590064,0.918868636920132,588.0,587.0,894.0,890.9,-1.1140571651342177,1.1140571651342177,-9.16,1700,1100,1.83,379979.0,18999.0,1.01,20,14,6,70.0
405,5214,日本電気硝子,ガラス・土石製品,6473,ジェイテクト,機械,0.9323322071897144,0.9167349961836538,2415.0,2393.0,1268.0,1260.0,-1.1110909800830775,1.1110909800830775,-5.75,400,800,5.31,169179.0,8459.0,0.5,20,10,10,50.0
377,7846,パイロットコーポレーション,その他製品,8377,ほくほくフィナンシャルグループ,銀行業,0.9343837973485714,0.9212389600837988,4070.0,4020.0,1054.0,1053.0,1.1106216003704958,1.1106216003704958,3.23,200,800,4.78,98660.0,8222.0,0.59,12,7,5,58.33
388,4118,カネカ,化学,7751,キヤノン,電気機器,0.9338686328028012,0.9281021205069382,3395.0,3380.0,2893.5,2926.0,-1.1094453908045971,1.1094453908045971,-6.38,200,200,13.43,0.0,0.0,0.0,0,0,0,0.0
187,4061,デンカ,化学,7278,エクセディ,輸送用機器,0.9512895758647044,0.9212250520917048,3005.0,2942.0,2145.0,2119.0,-1.1018514354041449,1.1018514354041449,-2.61,300,400,3.97,12603.0,1400.0,-0.07,9,4,5,44.44
282,5802,住友電気工業,非鉄金属,6995,東海理化電機製作所,輸送用機器,0.9431444486473488,0.9285524168294708,1390.0,1377.5,1893.0,1860.0,-1.0954971342056343,1.0954971342056343,-3.15,700,500,3.68,206472.0,12145.0,0.67,17,10,7,58.82
186,6586,マキタ,機械,7189,西日本フィナンシャルホールディングス,銀行業,0.9512965144382668,0.9216040483733324,3350.0,3385.0,752.0,758.0,-1.0943518959462517,1.0943518959462517,-3.44,200,900,0.77,57303.0,4093.0,0.39,14,8,6,57.14
64,3861,王子ホールディングス,パルプ・紙,7751,キヤノン,電気機器,0.9670567309807596,0.9202253801713604,520.0,513.0,2893.5,2926.0,-1.0933209448462466,1.0933209448462466,-4.67,1700,300,0.65,9630.0,482.0,-0.02,20,11,9,55.0
33,5214,日本電気硝子,ガラス・土石製品,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,0.9714748127221878,0.9200402764832042,2415.0,2393.0,1327.0,1310.0,1.093199570112326,1.093199570112326,2.45,400,700,4.2,195221.0,12201.0,0.59,16,8,8,50.0
82,4208,宇部興産,化学,7278,エクセディ,輸送用機器,0.9643317179510168,0.9136210241575936,2197.0,2193.0,2145.0,2119.0,1.0887154073652363,1.0887154073652363,2.31,400,400,3.37,344030.0,28669.0,1.71,12,10,2,83.33
385,5803,フジクラ,非鉄金属,7267,本田技研工業,輸送用機器,0.93399647976245,0.920773700487986,411.0,415.0,2855.0,2840.0,1.0886142505804994,1.0886142505804994,4.59,2100,300,2.29,-328160.0,-19304.0,-1.14,17,6,11,35.29
478,2784,アルフレッサ　ホールディングス,卸売業,5233,太平洋セメント,ガラス・土石製品,0.9254399537057048,0.9254371919712412,2468.0,2452.0,3005.0,2969.0,-1.0870927565818802,1.0870927565818802,-4.62,400,300,10.12,116898.0,8992.0,0.61,13,6,7,46.15
486,5406,神戸製鋼所,鉄鋼,7278,エクセディ,輸送用機器,0.9248295339986642,0.9252280116541464,588.0,587.0,2145.0,2119.0,-1.0772966800013166,1.0772966800013166,-6.89,1400,400,3.04,-14893.0,-784.0,-0.07,19,9,10,47.37
343,6371,椿本チエイン,機械,9810,日鉄物産,卸売業,0.937532846378837,0.9214818043238804,3520.0,3460.0,4285.0,4260.0,1.0723459380318692,1.0723459380318692,2.14,200,200,18.78,42984.0,8597.0,0.5,5,3,2,60.0
639,4062,イビデン,電気機器,6857,アドバンテスト,電気機器,0.9117932361106582,0.9204715148757192,2202.0,2184.0,4690.0,4820.0,-1.070793220714359,1.070793220714359,-19.2,400,200,9.38,153211.0,9576.0,0.6,16,10,6,62.5
706,2292,Ｓ　Ｆｏｏｄｓ,食料品,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,0.905109176381385,0.9048798974736628,3120.0,3025.0,1327.0,1310.0,-1.0655487854112613,1.0655487854112613,-4.21,300,700,1.05,-77159.0,-4539.0,-0.25,17,8,9,47.06
444,1963,日揮,建設業,7278,エクセディ,輸送用機器,0.9286724701444996,0.9292279283176736,1428.0,1413.0,2145.0,2119.0,1.0650056553310576,1.0650056553310576,3.0,600,400,0.02,-66685.0,-3923.0,-0.27,17,8,9,47.06
654,5020,ＪＸＴＧホールディングス,石油・石炭製品,8750,第一生命ホールディングス,保険業,0.9092572248286196,0.9765622457742544,499.5,500.0,1633.5,1640.0,-1.0629661648331783,1.0629661648331783,-3.8,2000,600,1.63,258202.0,12910.0,0.7,20,12,8,60.0
592,6305,日立建機,機械,7751,キヤノン,電気機器,0.91583520880286,0.9159088299815537,2610.0,2631.0,2893.5,2926.0,1.0599072609218394,1.0599072609218394,4.16,300,300,10.08,-12099.0,-931.0,-0.03,13,6,7,46.15
391,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,8601,大和証券グループ本社,証券、商品先物取引業,0.9336802562678316,0.9403523502682206,558.0,554.1,499.7,489.7,1.0593958502650558,1.0593958502650558,2.37,1800,2000,1.8,239082.0,17077.0,0.89,14,10,4,71.43
9,4902,コニカミノルタ,電気機器,5401,日本製鉄,鉄鋼,0.9809118526455028,0.9064852026742568,771.0,767.0,1519.0,1525.5,-1.0581495418821163,1.0581495418821163,-7.64,1200,600,0.56,37734.0,1986.0,0.16,19,11,8,57.89
197,8309,三井住友トラスト・ホールディングス,銀行業,8385,伊予銀行,銀行業,0.9499401710426022,0.9463078256002736,3930.0,3932.0,584.0,573.0,-1.0564231299398041,1.0564231299398041,-1.99,200,1400,2.01,-86749.0,-5103.0,-0.27,17,8,9,47.06
570,7182,ゆうちょ銀行,銀行業,9201,日本航空,空運業,0.917106671121982,0.9280464342030144,1062.0,1057.0,3372.0,3322.0,1.0539874723522993,1.0539874723522993,2.85,900,300,4.55,237942.0,14871.0,0.9,16,10,6,62.5
307,4581,大正製薬ホールディングス,医薬品,9505,北陸電力,電気・ガス業,0.94079304404395,0.9527306453361164,8050.0,7890.0,753.0,744.0,-1.0491700035101754,1.0491700035101754,-3.7,100,1100,3.73,-39550.0,-3955.0,-0.21,10,5,5,50.0
458,6752,パナソニック,電気機器,8341,七十七銀行,銀行業,0.9274650216598932,0.9396877175456344,894.0,890.9,1659.0,1618.0,-1.0471243103621832,1.0471243103621832,-4.93,1100,600,0.95,72915.0,4557.0,0.34,16,7,9,43.75
440,4182,三菱瓦斯化学,化学,4634,東洋インキＳＣホールディングス,化学,0.9291247779074632,0.9041633113350712,1440.0,1434.0,2517.0,2497.0,-1.0443186376261269,1.0443186376261269,-3.41,700,400,0.5,31936.0,1879.0,0.18,17,8,9,47.06
183,6472,ＮＴＮ,機械,6995,東海理化電機製作所,輸送用機器,0.9514421332443664,0.9597552148828136,314.0,312.0,1893.0,1860.0,-1.0435814956682714,1.0435814956682714,-3.13,3000,500,0.65,-3431.0,-245.0,-0.02,14,8,6,57.14
595,5393,ニチアス,ガラス・土石製品,6995,東海理化電機製作所,輸送用機器,0.9156941141143125,0.9143470218398768,1902.0,1917.0,1893.0,1860.0,-1.0317578401125884,1.0317578401125884,-3.11,500,500,2.97,176381.0,11759.0,0.63,15,9,6,60.0
564,5991,日本発條,金属製品,7272,ヤマハ発動機,輸送用機器,0.9179276680735541,0.9057194487371736,837.0,834.0,1980.0,1972.0,-1.0256894401133765,1.0256894401133765,-2.83,1200,500,1.5,321640.0,17869.0,1.02,18,13,5,72.22
484,4005,住友化学,化学,7267,本田技研工業,輸送用機器,0.9251882435736118,0.9043190612348035,496.0,493.0,2855.0,2840.0,-1.0254283599553458,1.0254283599553458,-2.9,1700,300,1.63,244443.0,12865.0,0.69,19,13,6,68.42
48,7278,エクセディ,輸送用機器,7846,パイロットコーポレーション,その他製品,0.9693032002032748,0.9426372923445304,2145.0,2119.0,4070.0,4020.0,-1.0232404477544714,1.0232404477544714,-2.38,400,200,5.42,212868.0,30410.0,1.54,7,5,2,71.43
222,4061,デンカ,化学,4401,ＡＤＥＫＡ,化学,0.9480610080146008,0.9104585097594424,3005.0,2942.0,1375.0,1350.0,1.020662744905096,1.020662744905096,4.7,300,700,7.07,192130.0,11302.0,0.62,17,9,8,52.94
409,4581,大正製薬ホールディングス,医薬品,5411,ジェイ　エフ　イー　ホールディングス,鉄鋼,0.9316230849472324,0.9205847593215858,8050.0,7890.0,1327.0,1310.0,1.0084569586338827,1.0084569586338827,4.95,100,600,0.38,-177575.0,-17758.0,-1.0,10,4,6,40.0
100,6674,ジーエス・ユアサ　コーポレーション,電気機器,8377,ほくほくフィナンシャルグループ,銀行業,0.9613728269299872,0.9254564572613612,1883.0,1870.0,1054.0,1053.0,-0.99980602595659,0.99980602595659,-3.44,500,900,1.36,13534.0,752.0,-0.06,18,8,10,44.44
27,4182,三菱瓦斯化学,化学,4208,宇部興産,化学,0.9733335169032524,0.9452683734966814,1440.0,1434.0,2197.0,2193.0,0.9981735992264058,0.9981735992264058,2.67,600,400,1.92,322449.0,17914.0,1.03,18,12,6,66.67
469,4061,デンカ,化学,5401,日本製鉄,鉄鋼,0.9265582163675292,0.9048982019640536,3005.0,2942.0,1519.0,1525.5,0.9955972916070018,0.9955972916070018,4.66,300,600,3.7,107528.0,8271.0,0.67,13,9,4,69.23
352,6301,小松製作所,機械,7762,シチズン時計,精密機器,0.9359449989745504,0.901808271916434,2487.0,2491.0,528.0,532.0,0.9938450322854476,0.9938450322854476,2.1,400,1900,1.45,236539.0,12449.0,0.74,19,11,8,57.89
726,4507,塩野義製薬,医薬品,9810,日鉄物産,卸売業,0.902969467119388,0.9245748609003086,5943.0,5841.0,4285.0,4260.0,-0.985417428911752,0.985417428911752,-2.0,100,100,27.07,9218.0,1152.0,0.08,8,4,4,50.0
268,7327,第四北越フィナンシャルグループ,銀行業,8377,ほくほくフィナンシャルグループ,銀行業,0.9444102718957949,0.9219295551967066,2761.0,2737.0,1054.0,1053.0,0.9818619605116878,0.9818619605116878,2.8,300,800,2.59,21437.0,7146.0,0.43,3,2,1,66.67
420,7211,三菱自動車工業,輸送用機器,7267,本田技研工業,輸送用機器,0.9305011872593252,0.9162837270382349,491.0,487.0,2855.0,2840.0,-0.9806920684133388,0.9806920684133388,-3.03,1700,300,2.83,-138034.0,-7669.0,-0.47,18,9,9,50.0
11,7167,めぶきフィナンシャルグループ,銀行業,9810,日鉄物産,卸売業,0.9798573435139694,0.9231173869675968,272.0,269.0,4285.0,4260.0,0.9781166122972572,0.9781166122972572,3.11,3200,200,1.03,53656.0,3156.0,0.39,17,10,7,58.82
84,5401,日本製鉄,鉄鋼,7261,マツダ,輸送用機器,0.9638200915490264,0.9031376997885716,1519.0,1525.5,972.3,963.2,-0.9763424075216705,0.9763424075216705,-2.53,600,1000,5.23,107614.0,6330.0,0.33,17,10,7,58.82
303,4182,三菱瓦斯化学,化学,6371,椿本チエイン,機械,0.9413463411703976,0.9693064415487712,1440.0,1434.0,3520.0,3460.0,0.9754578230052836,0.9754578230052836,3.06,500,200,3.61,-59761.0,-4269.0,0.02,14,7,7,50.0
120,1820,西松建設,建設業,3099,三越伊勢丹ホールディングス,小売業,0.9590347403123964,0.9302278760029404,2003.0,2005.0,882.0,866.0,-0.975403384454534,0.975403384454534,-1.75,400,900,2.82,113929.0,6702.0,0.32,17,10,7,58.82
437,6586,マキタ,機械,7167,めぶきフィナンシャルグループ,銀行業,0.9292898672165923,0.93611495571932,3350.0,3385.0,272.0,269.0,-0.9746747324633592,0.9746747324633592,-2.91,200,2500,0.66,110126.0,6883.0,0.51,16,9,7,56.25
545,7167,めぶきフィナンシャルグループ,銀行業,8750,第一生命ホールディングス,保険業,0.9202911502785784,0.958491681537696,272.0,269.0,1633.5,1640.0,-0.9736886859922383,0.9736886859922383,-2.69,3700,600,1.15,106577.0,6269.0,0.36,17,11,6,64.71
