DATE,OPEN_8316,CLOSE_8316,OPEN_8385,CLOSE_8385,saya_divide,saya_divide_mean,saya_divide_std,saya_divide_sigma,deviation_rate(%),CORR_3M,COINT_3M,CORR_1Y,COINT_1Y
2020-04-28,2787.5,2768.5,581.0,584.0,4.740582191780822,6.1172342373734665,0.9057115684883148,-1.5199673864057588,-29.04,0.3018877134768173,0.9582579583049912,0.6131792421379014,0.008066912651822028
2020-04-27,2710.0,2755.5,579.0,581.0,4.742685025817556,6.142773678395807,0.8934556862947681,-1.5670487905052464,-29.52,0.3282373236983696,0.9459877581934086,0.6245078293316779,0.023581374208175302
2020-04-24,2705.0,2719.5,595.0,578.0,4.705017301038063,6.166487769119112,0.8794736516975854,-1.6617558300468427,-31.06,0.3564099267225676,0.9271947770362996,0.639263352919673,0.012347086041026762
2020-04-23,2654.0,2729.5,594.0,588.0,4.642006802721088,6.191300959780738,0.8640068293529743,-1.7931503599570662,-33.38,0.39305437443311336,0.9385446305903371,0.6548551541208512,0.0006749278453029304
2020-04-22,2650.0,2648.5,597.0,601.0,4.406821963394343,6.216246245421876,0.845730695311286,-2.139480442248277,-41.06,0.4431141137545104,0.8178268363814669,0.6769882451619742,7.649333859327348e-06
2020-04-21,2666.0,2682.0,591.0,603.0,4.447761194029851,6.2439320004235075,0.8196285320070574,-2.1914449488420087,-40.38,0.4969956042998033,0.9267504414792184,0.6993748544212866,6.163785874228216e-07
2020-04-20,2712.5,2714.0,576.0,601.0,4.515806988352746,6.272545864220348,0.7934657483234241,-2.2140071951178144,-38.9,0.549660677979986,0.7368497242201758,0.7198087239439721,2.317421594449641e-05
2020-04-17,2719.0,2705.0,576.0,573.0,4.720767888307155,6.30125342667145,0.7679255812143297,-2.0581233091168216,-33.48,0.5879046661833215,0.649036931797241,0.7356088100272402,0.0018416728127278515
2020-04-16,2704.5,2700.0,548.0,569.0,4.745166959578207,6.326804655046294,0.7464951671001566,-2.1187514202029383,-33.33,0.6234915142715746,0.7533206009920206,0.7497385833916005,0.026402179173644482
2020-04-15,2783.0,2773.5,565.0,556.0,4.988309352517986,6.351988921293311,0.7242406799949626,-1.882909378667891,-27.34,0.6486741712216824,0.6319537222506512,0.7591747787013766,0.007426598139792637
2020-04-14,2778.0,2833.0,559.0,569.0,4.978910369068541,6.374511788992637,0.7075558647002114,-1.9724257681270247,-28.03,0.6780497889175463,0.7324714379566284,0.7704738647986366,0.027675739729057448
2020-04-13,2800.0,2781.5,550.0,559.0,4.975849731663685,6.396813513515267,0.6893415820078965,-2.061334785162146,-28.56,0.7048363305208571,0.501078684197482,0.7805490523964721,0.02745954004695494
2020-04-10,2751.5,2836.5,535.0,548.0,5.1760948905109485,6.418799499916488,0.6696862117222382,-1.8556520765294904,-24.01,0.7177599621782638,0.18052825002770825,0.7876246959834041,0.0063778435664777824
2020-04-09,2733.0,2727.0,538.0,529.0,5.155009451795841,6.438139602231042,0.6542862376997622,-1.9611143815988403,-24.89,0.7342418527942124,0.6993666272309924,0.7933028310265465,0.014546625547336718
2020-04-08,2732.0,2696.0,535.0,541.0,4.9833641404805915,6.456760981583442,0.6371523374898352,-2.3124718445003842,-29.57,0.7563696509171884,0.5538282046230628,0.8027637960498446,0.012701241842228312
2020-04-07,2739.5,2724.0,531.0,526.0,5.178707224334601,6.476568119997449,0.6136997906199838,-2.1148139782672852,-25.06,0.7698390504986041,0.01578123538979507,0.8088370078388171,0.0033147523657127828
2020-04-06,2580.0,2632.5,498.0,518.0,5.082046332046332,6.494054209465338,0.594865443248462,-2.373659276135228,-27.78,0.7830784623937749,0.11847370128886694,0.8150005535602134,0.00706789592995273
2020-04-03,2562.5,2550.0,500.0,494.0,5.161943319838056,6.512171495540485,0.5718311484258196,-2.3612357938518027,-26.16,0.7894586513614392,0.044747571612626665,0.8191240610922826,0.0028655653650783
2020-04-02,2559.0,2558.5,518.0,496.0,5.158266129032258,6.529699919558154,0.5499020788590973,-2.4939600035178295,-26.59,0.7934723963579848,0.11642290600079065,0.8234517108939214,1.477122444157516e-05
2020-04-01,2600.0,2595.5,540.0,523.0,4.962715105162524,6.546989490142118,0.5263934443558904,-3.009677270806736,-31.92,0.8093196703063057,0.0012973591590772866,0.8343857633331411,0.006754731846802468
2020-03-31,2724.0,2623.0,559.0,547.0,4.795246800731261,6.567410741314476,0.49319809705284823,-3.5932092016837607,-36.96,0.8394984823006768,3.2052221873664065e-05,0.8526142745699871,2.6045533564958955e-05
2020-03-30,2720.0,2750.5,541.0,565.0,4.868141592920354,6.591218891782174,0.4481135409225342,-3.845180164193453,-35.39,0.8760652891498937,0.00016850060698266558,0.8730786747327832,0.0010720503997431398
2020-03-27,2933.0,2935.0,550.0,571.0,5.140105078809107,6.615184361736101,0.4008970798074355,-3.6794463148385232,-28.7,0.9072293657724244,0.010411163279294366,0.8894874120841192,0.00018297911675556
2020-03-26,2881.0,2883.0,519.0,537.0,5.368715083798882,6.636029861857843,0.3624589888919189,-3.4964363332064,-23.61,0.9246715832384276,0.15724230484520446,0.8994097039601598,0.0009089784698436877
2020-03-25,2916.0,2950.5,514.0,521.0,5.663147792706334,6.652341730915963,0.33124262488218603,-2.9863123399697082,-17.47,0.9344784127438982,0.017861109224385503,0.9049283094638032,1.5205050070483085e-05
2020-03-24,2719.5,2772.5,494.0,502.0,5.522908366533865,6.665477538124323,0.31064869661076244,-3.6780105117327375,-20.69,0.9458100269042752,3.908520086443579e-06,0.9120928171938848,8.223201941184344e-10
2020-03-23,2510.0,2633.5,441.0,493.0,5.341784989858012,6.681120896798697,0.2808278113160092,-4.769242407524802,-25.07,0.9619824903973679,0.03536664798192652,0.9227675583310024,1.6577642405952893e-05
2020-03-19,2661.5,2560.0,452.0,442.0,5.791855203619909,6.699185985822812,0.2337167633945551,-3.8821810169909297,-15.67,0.9665053759488756,0.02035650237679841,0.9260035501735676,1.787845860710283e-05
2020-03-18,2645.5,2611.5,434.0,441.0,5.921768707482993,6.712321610134906,0.2086986230358561,-3.788012068081972,-13.35,0.9705377811241696,0.10997300389788917,0.9288271025323892,0.00028488294704731636
2020-03-17,2610.5,2661.5,396.0,431.0,6.175174013921113,6.722150051772238,0.1875195476171795,-2.9169014366852806,-8.86,0.9720116087807541,0.5393093528934261,0.9292828983544724,0.00595687190026851
2020-03-16,2594.0,2651.5,409.0,407.0,6.514742014742015,6.729071155010047,0.17645664925840387,-1.2146277353038,-3.29,0.9698272383337362,0.4263597736297417,0.9266199807457216,0.0023166031937421
2020-03-13,2594.5,2644.0,400.0,404.0,6.544554455445544,6.730999874455545,0.174887004806299,-1.0660907550935743,-2.85,0.9662424012714336,0.4201941375592913,0.9236164032438796,0.002915367469225623
2020-03-12,2886.5,2794.5,434.0,424.0,6.590801886792453,6.733085995229784,0.17357882854158846,-0.8197088874997261,-2.16,0.962210923176227,0.6071172979565328,0.9206749408891892,0.017816659168931177
2020-03-11,2935.5,2958.0,447.0,442.0,6.6923076923076925,6.7344308589614394,0.1728604783332817,-0.2436830388293375,-0.63,0.9575400200369568,0.20177330425375944,0.9175519830185171,0.00011198157228408654
2020-03-10,2841.5,2947.5,434.0,448.0,6.579241071428571,6.732743949379794,0.1738776582767265,-0.8828211713486641,-2.33,0.9542635571938688,0.002704433824046357,0.9158380978403894,0.014995319632270004
2020-03-09,3036.0,2891.5,456.0,444.0,6.512387387387387,6.732311375488169,0.1742988514451178,-1.2617638399644282,-3.38,0.9574390958248866,0.03525474886973238,0.916099021786627,0.02704869113691484
2020-03-06,3191.0,3176.0,476.0,473.0,6.7145877378435515,6.7342790969785025,0.17262999148970637,-0.11406684878464572,-0.29,0.9584397797643176,0.06618661992180996,0.9129823970725685,0.03649785848167219
2020-03-05,3330.0,3309.0,492.0,489.0,6.766871165644171,6.733142254433285,0.17303619368035492,0.19492402423733837,0.5,0.9600023419834096,0.02051244101835711,0.9114356243543326,0.03096666374898713
2020-03-04,3340.0,3331.0,480.0,488.0,6.825819672131147,6.730869375274805,0.17369652656353354,0.5466447644916593,1.39,0.9631057027282952,0.03722748346592536,0.9098534487260559,0.023394289672629947
2020-03-03,3468.0,3403.0,501.0,491.0,6.930753564154786,6.728409410500384,0.173640836626136,1.1653028031076984,2.92,0.964452198803211,0.013246480266646805,0.9078980737495173,0.024345267158100616
2020-03-02,3414.0,3457.0,479.0,490.0,7.055102040816327,6.7261228197684435,0.17208338793267283,1.911743050855064,4.66,0.9624149585477828,0.01106605283438752,0.9057963675468116,0.02601573969600769
2020-02-28,3462.0,3484.0,485.0,488.0,7.139344262295082,6.721394894080403,0.16779766565539572,2.4907936983641803,5.85,0.9580170058934788,0.028624472079434936,0.9034868960867742,0.032928818126521334
2020-02-27,3550.0,3531.0,504.0,497.0,7.104627766599598,6.715779189032484,0.16060999483653246,2.421073345795699,5.47,0.9529669548669548,0.015012182741803331,0.9015342717971688,0.03234130721705043
2020-02-26,3600.0,3598.0,508.0,511.0,7.041095890410959,6.711446688002206,0.1543218018902458,2.136115560931568,4.68,0.9485054814936356,0.09310863578137267,0.9006069987413705,0.02456809841895027
2020-02-25,3614.0,3640.0,515.0,514.0,7.081712062256809,6.707408341400566,0.1495311107042248,2.503182910187986,5.29,0.9390599408696179,0.09646497507779084,0.9001246851574601,0.0231338099174855
2020-02-21,3763.0,3754.0,532.0,537.0,6.990689013035381,6.702644670460711,0.1430827839186546,2.0131306834121223,4.12,0.9337133062089537,0.002266692296255757,0.9008544347593848,0.018765023718938515
2020-02-20,3765.0,3751.0,538.0,535.0,7.011214953271028,6.699320541091504,0.13919546546140862,2.240693769338308,4.45,0.9260193909132702,0.002818595829225433,0.9015861183832308,0.020258231325481345
2020-02-19,3755.0,3751.0,540.0,532.0,7.0507518796992485,6.695205196415412,0.13439322959550962,2.645569902248384,5.04,0.9149097157639732,0.020894644314912003,0.902509889351782,0.015732533475377713
